admNm,admCd,xAxis,yAxis,popCnt,storeCnt,saleAmt
남가좌1동,11410690,304775,552883,"1,535",17,"29,590,000"
남가좌2동,11410700,305143,553451,"1,975",44,9420000
북가좌1동,11410710,303930,553006,"1,897",10,9920000
북가좌2동,11410720,304026,553803,"2,027",39,"11,440,000"
북아현동,11410555,308050,551314,"1,184",17,8520000
신촌동,11410585,306854,551335,"10,093",245,"15,950,000"
연희동,11410615,306140,552935,"5,117",113,"13,350,000"
천연동,11410520,308243,552604,"2,271",11,"14,820,000"
충현동,11410565,307851,551908,"3,654",62,"11,080,000"
홍은1동,11410660,307225,555694,"1,736",22,"13,120,000"
홍은2동,11410685,306053,553627,"3,304",31,8660000
홍제1동,11410620,307011,554459,"2,630",21,"13,730,000"
홍제2동,11410655,307405,554277,886,7,"13,600,000"
홍제3동,11410640,307443,555127,"2,312",19,"12,310,000"
내곡동,11650660,316258,540399,"5,256",29,"22,750,000"
반포1동,11650560,312964,545225,"6,328",35,"10,640,000"
반포2동,11650570,311292,545186,"3,896",13,"16,170,000"
반포3동,11650580,312285,546004,"4,010",16,"14,720,000"
반포4동,11650581,311801,544393,"13,644",94,"32,920,000"
반포본동,11650550,310546,544739,"2,593",15,7320000
방배1동,11650600,311273,542831,"2,403",47,"16,600,000"
방배2동,11650610,310474,542441,"6,469",50,"15,730,000"
방배3동,11650620,311750,542279,"3,401",39,"14,110,000"
방배본동,11650590,310782,544033,"2,989",50,"14,020,000"
서초1동,11650510,313485,543565,"5,558",88,"13,340,000"
서초2동,11650520,313972,543769,"10,767",88,"13,690,000"
서초3동,11650530,312805,543616,"13,180",152,"18,200,000"
서초4동,11650531,313742,544953,"7,064",74,"24,780,000"
양재1동,11650651,314101,541503,"8,750",123,"20,870,000"
양재2동,11650652,315392,541376,"14,167",112,"14,290,000"
잠원동,11650540,313036,546320,"7,575",53,"13,890,000"
금호1가동,11200590,313753,550740,"1,751",15,"20,950,000"
금호2.3가동,11200615,313686,550558,"2,513",23,7900000
금호4가동,11200620,313806,549887,"4,067",14,"22,110,000"
마장동,11200540,315865,551991,"2,484",16,"13,340,000"
사근동,11200550,315892,551423,"3,944",62,"17,670,000"
성수1가1동,11200650,316216,549291,"3,848",45,"18,400,000"
성수1가2동,11200660,316254,549927,"3,244",126,"18,090,000"
성수2가1동,11200670,316596,549011,"2,732",63,"29,360,000"
성수2가3동,11200690,316714,549974,"4,122",131,"26,270,000"
송정동,11200720,317986,550661,"1,427",11,7250000
옥수동,11200645,313009,549509,"5,455",17,"16,090,000"
왕십리2동,11200520,314543,551423,"1,626",13,"13,920,000"
왕십리도선동,11200535,314636,551967,"2,983",37,"16,030,000"
응봉동,11200580,314789,550539,"2,576",6,"20,370,000"
용답동,11200790,316760,551732,"4,380",27,"13,020,000"
행당1동,11200560,315038,551132,"4,934",31,"19,830,000"
행당2동,11200570,314437,551106,"1,428",11,"22,310,000"
길음1동,11290660,313623,556916,"4,839",27,"12,380,000"
길음2동,11290685,314310,556501,"3,613",34,"14,920,000"
돈암1동,11290580,314226,556125,"1,437",5,"11,710,000"
돈암2동,11290590,312822,555540,695,9,"16,650,000"
동선동,11290575,313688,555083,"2,912",83,"15,630,000"
보문동,11290610,313884,553571,"1,595",25,7270000
삼선동,11290555,313175,554741,"2,745",48,"14,170,000"
석관동,11290810,317330,557154,"6,491",39,"14,070,000"
성북동,11290525,312169,554774,"2,136",64,"30,100,000"
안암동,11290600,313764,554177,"2,320",94,"12,290,000"
월곡1동,11290715,315063,556907,"2,178",28,"16,700,000"
월곡2동,11290725,316127,556368,"4,246",39,"17,510,000"
장위1동,11290760,315765,557292,"1,901",18,"20,500,000"
장위2동,11290770,316719,557096,"1,836",13,"14,680,000"
장위3동,11290780,316911,557556,"1,765",13,"14,430,000"
정릉1동,11290620,313364,555914,"2,150",18,"19,050,000"
정릉2동,11290630,312882,556255,"2,144",18,"17,150,000"
정릉3동,11290640,312273,556760,"3,208",30,"19,220,000"
정릉4동,11290650,312529,557246,"2,096",26,9090000
종암동,11290705,315002,555631,"5,390",43,9160000
가락1동,11710631,321485,544187,"5,264",12,"20,620,000"
가락2동,11710632,322969,544414,"4,189",45,"11,570,000"
가락본동,11710620,322537,544074,"4,125",71,"15,920,000"
거여1동,11710531,324443,544208,"2,047",20,"11,300,000"
거여2동,11710532,324751,543827,"2,740",16,"18,290,000"
마천1동,11710540,325030,544098,"2,208",8,"16,530,000"
마천2동,11710550,324906,544193,"1,976",14,"15,320,000"
문정1동,11710641,322745,543461,"1,917",36,"11,880,000"
문정2동,11710642,321570,543451,"11,076",150,"14,410,000"
방이1동,11710561,322742,545781,"1,530",46,"12,650,000"
방이2동,11710562,321634,546396,"4,243",51,"19,680,000"
삼전동,11710610,319959,544892,"2,892",57,"13,230,000"
석촌동,11710600,320947,544975,"4,057",66,"15,480,000"
송파1동,11710580,321447,545270,"3,239",82,"15,080,000"
송파2동,11710590,322100,544826,"1,956",24,8030000
오금동,11710570,323104,544892,"4,169",63,"16,100,000"
오륜동,11710566,323664,546281,"7,187",17,"39,380,000"
위례동,11710647,324483,542457,"5,126",33,"24,010,000"
잠실2동,11710670,319617,545912,"6,432",31,"28,220,000"
잠실3동,11710680,320134,546064,"11,696",47,"13,840,000"
잠실4동,11710690,321720,546810,"2,540",4,"29,260,000"
잠실6동,11710710,320693,546593,"11,151",92,"25,410,000"
잠실7동,11710720,318586,545544,"2,282",2,0
잠실본동,11710650,319238,545278,"5,993",67,"19,260,000"
장지동,11710646,323472,543110,"4,331",28,"13,410,000"
풍납1동,11710510,322609,548790,"2,165",11,"13,240,000"
풍납2동,11710520,322130,547760,"4,467",18,"11,650,000"
목1동,11470510,300426,548171,"6,936",97,"23,520,000"
목2동,11470520,300492,549921,"2,739",39,"12,230,000"
목3동,11470530,299848,549773,"1,687",33,"12,750,000"
목4동,11470540,300182,548403,"2,778",40,5280000
목5동,11470550,301366,548916,"4,424",33,"24,190,000"
신월1동,11470560,296924,548484,"1,576",19,7960000
신월2동,11470570,298066,547601,"1,153",14,"11,440,000"
신월3동,11470580,296709,548579,"2,624",16,9260000
신월4동,11470590,297669,547575,"1,806",14,"11,450,000"
신월5동,11470600,296547,549130,"1,638",19,7370000
신월6동,11470610,297733,546448,"1,720",13,"15,770,000"
신월7동,11470611,297190,547269,"2,449",19,"14,530,000"
신정1동,11470620,298918,546880,"1,760",32,"12,760,000"
신정2동,11470630,300366,546934,"1,928",36,"12,140,000"
신정3동,11470640,298956,546499,"5,666",25,"14,900,000"
신정4동,11470650,299058,547543,"3,667",80,"11,870,000"
신정6동,11470670,299807,546701,"3,337",22,"19,150,000"
신정7동,11470680,299387,546411,"3,738",24,"12,340,000"
성산2동,11440730,303815,552376,"6,570",48,"16,120,000"
망원2동,11440700,303216,551462,"2,617",46,"11,900,000"
서교동,11440660,304294,550872,"10,931",458,"14,220,000"
망원1동,11440690,303501,550934,"2,831",88,"14,260,000"
대흥동,11440600,306749,550926,"3,244",54,"12,630,000"
성산1동,11440720,303713,551795,"2,027",39,6110000
연남동,11440710,304962,551907,"1,282",174,"15,480,000"
삼청동,11110540,310273,554123,"1,465",88,"25,710,000"
청운효자동,11110515,309280,554033,"2,489",46,"19,060,000"
무악동,11110570,308169,553147,792,9,"15,950,000"
사직동,11110530,309114,553144,"5,990",121,"26,350,000"
종로5.6가동,11110630,312305,552665,"4,021",49,"16,000,000"
창신2동,11110680,312823,552925,475,10,"14,290,000"
명동,11140550,310594,551350,"8,605",182,"23,680,000"
필동,11140570,311457,551353,"3,256",68,"16,540,000"
교남동,11110580,308500,552690,"1,383",13,"37,320,000"
가회동,11110600,310526,553571,"1,664",66,"17,230,000"
이화동,11110640,312250,553211,"2,712",67,"20,060,000"
종로1.2.3.4가동,11110615,311000,552949,"13,416",264,"21,250,000"
광희동,11140590,312296,551821,"6,051",76,"16,690,000"
약수동,11140635,312632,550487,"2,930",17,"16,480,000"
소공동,11140520,309821,551622,"5,359",126,"28,790,000"
회현동,11140540,310019,551049,"6,732",111,"17,710,000"
신당동,11140615,313133,551552,"2,921",46,"14,790,000"
다산동,11140625,312573,550689,"1,908",43,"23,320,000"
장충동,11140580,312541,551535,"2,395",27,9400000
을지로동,11140605,311090,552082,"3,603",76,"14,440,000"
청구동,11140645,313140,550992,775,13,"11,270,000"
중림동,11140680,308873,551300,"1,181",31,"17,380,000"
평창동,11110560,309108,556508,"3,778",51,"15,930,000"
부암동,11110550,308711,554962,"2,228",53,"15,920,000"
혜화동,11110650,311933,554311,"2,401",80,"15,370,000"
창신3동,11110690,313168,553318,587,4,"13,200,000"
숭인1동,11110700,313247,553294,903,3,"25,440,000"
창신1동,11110670,313302,552505,"1,694",18,"12,400,000"
황학동,11140670,313744,552135,"1,622",18,"23,890,000"
숭인2동,11110710,313627,552963,"3,228",18,"16,470,000"
신당5동,11140650,313784,551880,"1,234",16,"23,580,000"
동화동,11140665,313562,551311,550,17,7530000
대조동,11380570,304918,557421,"4,206",39,"10,510,000"
응암3동,11380600,304441,554990,"1,829",44,"10,900,000"
신사2동,11380632,304175,554978,"1,534",19,4900000
불광1동,11380520,305909,556985,"3,121",38,"11,270,000"
갈현2동,11380552,304480,557925,"1,939",43,"10,950,000"
응암1동,11380580,305426,555919,"3,616",51,"10,770,000"
응암2동,11380590,305093,555244,904,18,9650000
신사1동,11380631,304098,555612,"1,699",27,"19,180,000"
구산동,11380560,303992,557163,"1,565",23,8560000
녹번동,11380510,305616,556138,"3,137",44,7250000
역촌동,11380625,304402,556342,"2,748",63,6990000
불광2동,11380530,305505,558781,"1,621",6,9610000
갈현1동,11380551,304744,558612,"2,103",33,"11,510,000"
증산동,11380640,303663,554125,"2,321",19,"11,000,000"
수색동,11380650,302824,554115,"3,416",13,"14,550,000"
진관동,11380690,304955,559743,"11,043",80,"13,380,000"
문래동,11560605,302913,546670,"6,748",86,"19,860,000"
영등포동,11560535,303905,547023,"9,532",109,"16,230,000"
도림동,11560585,302592,545828,"1,357",20,"22,550,000"
영등포본동,11560515,303778,546389,"4,815",33,"15,910,000"
양평1동,11560610,301923,547407,"2,884",46,8900000
신길7동,11560690,304843,545458,"2,783",11,"16,140,000"
신길3동,11560650,303628,545573,"1,132",15,4280000
신길6동,11560680,303803,544691,"1,926",25,"14,620,000"
당산1동,11560550,302736,547562,"4,097",75,"14,570,000"
신길1동,11560630,304845,545970,"3,012",11,"19,030,000"
신길5동,11560670,303397,544947,790,9,"12,900,000"
신길4동,11560660,303945,545695,523,13,4850000
대림3동,11560720,302757,544586,"2,358",38,"14,010,000"
당산2동,11560560,303163,548621,"8,377",61,"18,970,000"
양평2동,11560620,302623,548965,"8,161",68,"10,760,000"
여의동,11560540,306016,546699,"21,168",228,"24,040,000"
대림1동,11560700,303458,544261,978,15,"12,750,000"
대림2동,11560710,302769,543967,"1,810",9,"17,970,000"
이태원2동,11170660,310958,549332,"1,539",54,"17,420,000"
원효로1동,11170560,308804,549014,"1,761",33,"19,160,000"
한강로동,11170625,309089,547825,"12,391",128,"22,250,000"
이촌1동,11170630,309430,547068,"5,301",24,"25,180,000"
이태원1동,11170650,311377,548284,"2,535",54,"11,220,000"
청파동,11170555,309167,549748,"2,210",55,"11,180,000"
효창동,11170580,308452,549426,637,16,8620000
보광동,11170700,311822,547591,"1,944",10,8140000
원효로2동,11170570,307533,548531,"1,552",20,"13,990,000"
한남동,11170685,311860,548508,"8,692",119,"28,840,000"
용문동,11170590,308073,549036,600,17,"11,270,000"
이촌2동,11170640,307799,547633,"2,276",7,8230000
남영동,11170530,309605,549776,"6,479",70,"26,890,000"
후암동,11170510,309902,550098,794,31,"10,610,000"
용산2가동,11170520,310555,549799,"1,687",32,"21,430,000"
서빙고동,11170690,311327,546950,"5,894",17,7270000
