gid,강남구
다사597458,0
다사596459,0
다사594467,0
다사590465,0
다사592464,0
다사596465,0
다사605470,0
다사602474,0
다사597459,0
다사602463,0
다사594461,0
다사592466,0
다사602461,0
다사598461,0
다사595458,0
다사591461,0
다사601459,0
다사600473,0
다사593458,0
다사601467,0
다사594458,0
다사591467,0
다사601458,0
다사605468,0
다사592462,0
다사597471,0
다사599474,0
다사606470,0
다사598471,0
다사594475,0
다사591466,0
다사593461,0
다사598458,0
다사599467,0
다사592467,0
다사607460,0
다사613462,0
다사591462,0
다사601474,0
다사613463,0
다사595459,0
다사599468,0
다사596466,0
다사602460,0
다사599460,0
다사611462,0
다사597466,0
다사597472,0
다사593457,0
다사597474,0
다사603474,0
다사593463,0
다사599475,0
다사610462,0
다사590466,0
다사598476,0
다사603468,0
다사609462,0
다사591464,0
다사597468,0
다사599459,0
다사591465,0
다사600474,0
다사594471,0
다사598473,0
다사593464,0
다사600465,0
다사600464,0
다사597476,0
다사606469,0
다사595466,0
다사598474,0
다사627435,1
다사631437,1
다사618441,1
다사614438,1
다사617444,1
다사623438,1
다사632435,1
다사630428,1
다사632436,1
다사628436,1
다사616443,1
다사631439,1
다사624439,1
다사622438,1
다사625439,1
다사613433,1
다사627436,1
다사631435,1
다사596426,2
다사596428,2
다사599419,2
다사595427,2
다사589431,2
다사603434,2
다사596437,2
다사596431,2
다사597422,2
다사589430,2
다사600418,2
다사601422,2
다사603433,2
다사596429,2
다사594431,2
다사605422,2
다사601431,2
다사598423,2
다사588429,2
다사602417,2
다사599423,2
다사602418,2
다사598421,2
다사589429,2
다사598420,2
다사597432,2
다사600431,2
다사602434,2
다사608451,3
다사611446,3
다사611450,3
다사601444,3
다사612446,3
다사613443,3
다사605458,3
다사602453,3
다사604453,3
다사610453,3
다사607448,3
다사607451,3
다사599451,3
다사606452,3
다사614446,3
다사608445,3
다사604442,3
다사597448,3
다사603443,3
다사604450,3
다사606447,3
다사598453,3
다사605452,3
다사600453,3
다사611447,3
다사608449,3
다사602446,3
다사601450,3
다사608457,3
다사607438,3
다사609443,3
다사613448,3
다사603445,3
다사598450,3
다사602449,3
다사611445,3
다사611445,3
다사605451,3
다사600450,3
다사611439,3
다사602441,3
다사602441,3
다사602448,3
다사608439,3
다사604446,3
다사600449,3
다사604444,3
다사602451,3
다사602451,3
다사601443,3
다사602444,3
다사602443,3
다사610445,3
다사599443,3
다사605450,3
다사614450,3
다사608447,3
다사604457,3
다사606457,3
다사610440,3
다사605455,3
다사607457,3
다사607449,3
다사598445,3
다사606448,3
다사609444,3
다사604443,3
다사608455,3
다사612449,3
다사606454,3
다사605447,3
다사613453,3
다사607444,3
다사597452,3
다사603452,3
다사606455,3
다사607446,3
다사610439,3
다사606458,3
다사599452,3
다사607445,3
다사602442,3
다사598452,3
다사606456,3
다사646417,4
다사638425,4
다사646402,4
다사642410,4
다사641408,4
다사645432,4
다사656417,4
다사652417,4
다사647417,4
다사641416,4
다사654408,4
다사651416,4
다사643430,4
다사648413,4
다사646416,4
다사644410,4
다사646434,4
다사646433,4
다사648417,4
다사584464,5
다사576468,5
다사575465,5
다사583461,5
다사587466,5
다사579473,5
다사581472,5
다사579457,5
다사577460,5
다사588476,5
다사591475,5
다사580472,5
다사586464,5
다사587462,5
다사580457,5
다사583462,5
다사583470,5
다사581469,5
다사580469,5
다사577470,5
다사589472,5
다사580467,5
다사579476,5
다사576469,5
다사575472,5
다사580471,5
다사582470,5
다사587474,5
다사583472,5
다사578459,5
다사577467,5
다사575468,5
다사582474,5
다사580461,5
다사581465,5
다사576470,5
다사590476,5
다사581471,5
다사580482,5
다사575466,5
다사586459,5
다사579475,5
다사585465,5
다사575470,5
다사586460,5
다사584478,5
다사583471,5
다사582458,5
다사589477,5
다사583464,5
다사587460,5
다사577459,5
다사590472,5
다사586474,5
다사579472,5
다사588475,5
다사574472,5
다사584462,5
다사576467,5
다사584459,5
다사578466,5
다사579460,5
다사577471,5
다사587465,5
다사577468,5
다사578471,5
다사580458,5
다사584473,5
다사587468,5
다사584463,5
다사584463,5
다사581461,5
다사578468,5
다사582477,5
다사582477,5
다사586477,5
다사579469,5
다사590475,5
다사589476,5
다사580475,5
다사585469,5
다사576471,5
다사579468,5
다사576465,5
다사582462,5
다사581464,5
다사587477,5
다사575467,5
다사591476,5
다사579474,5
다사584470,5
다사580481,5
다사590474,5
다사582464,5
다사590469,5
다사578473,5
다사584465,5
다사585460,5
다사583465,5
다사585452,6
다사583456,6
다사579456,6
다사596451,6
다사586444,6
다사591442,6
다사592449,6
다사586455,6
다사587444,6
다사592439,6
다사589441,6
다사596453,6
다사586436,6
다사585451,6
다사585444,6
다사594445,6
다사583449,6
다사585441,6
다사587454,6
다사580452,6
다사589443,6
다사594451,6
다사584441,6
다사591438,6
다사594456,6
다사590452,6
다사586448,6
다사590438,6
다사585439,6
다사589447,6
다사592447,6
다사590442,6
다사587446,6
다사578456,6
다사590440,6
다사591457,6
다사588448,6
다사591450,6
다사583457,6
다사589456,6
다사590437,6
다사586447,6
다사581451,6
다사586453,6
다사587453,6
다사582457,6
다사589436,6
다사584446,6
다사591451,6
다사590450,6
다사583453,6
다사585455,6
다사593443,6
다사590457,6
다사580453,6
다사588447,6
다사591454,6
다사589453,6
다사592437,6
다사582446,6
다사588444,6
다사583454,6
다사584443,6
다사582452,6
다사582452,6
다사583445,6
다사585449,6
다사593451,6
다사587448,6
다사593446,6
다사593456,6
다사584457,6
다사584456,6
다사594442,6
다사589440,6
다사592448,6
다사585447,6
다사588450,6
다사590449,6
다사593449,6
다사584445,6
다사590448,6
다사587439,6
다사586454,6
다사588449,6
다사587457,6
다사596441,6
다사579453,6
다사592446,6
다사590439,6
다사589444,6
다사590443,6
다사591452,6
다사589448,6
다사594441,6
다사581450,6
다사594443,6
다사587441,6
다사594450,6
다사595450,6
다사595441,6
다사589442,6
다사590441,6
다사585443,6
다사585448,6
다사591441,6
다사589451,6
다사591456,6
다사592451,6
다사593447,6
다사584450,6
다사593450,6
다사593439,6
다사580450,6
다사583455,6
