gid,강동구
다사665496,0
다사674497,0
다사667500,0
다사669501,0
다사677508,0
다사669500,0
다사668503,0
다사677507,0
다사674498,0
다사667499,0
다사670496,0
다사668502,0
다사669499,0
다사674503,0
다사674496,0
다사670501,0
다사675500,0
다사674501,0
다사666496,0
다사668498,0
다사675505,0
다사666497,0
다사676506,0
다사668497,0
다사671502,0
다사671503,0
다사668501,0
다사676496,0
다사676494,0
다사675499,0
다사666499,0
다사666498,0
다사676500,0
다사667501,0
다사667502,0
다사675506,0
다사670506,0
다사677500,0
다사671498,0
다사668495,0
다사665477,1
다사670476,1
다사672480,1
다사664477,1
다사675481,1
다사673482,1
다사672482,1
다사669479,1
다사675478,1
다사672481,1
다사673479,1
다사666477,1
다사673471,1
다사677477,1
다사669474,1
다사672479,1
다사673477,1
다사667475,1
다사672478,1
다사672483,1
다사672476,1
다사676478,1
다사671475,1
다사670475,1
다사668479,1
다사666479,1
다사677479,1
다사670479,1
다사665480,1
다사665478,1
다사674473,1
다사675477,1
다사670480,1
다사674474,1
다사675476,1
다사674475,1
다사670481,1
다사670481,1
다사664478,1
다사674476,1
다사674483,1
다사671477,1
다사672473,1
다사669473,1
다사669473,1
다사665479,1
다사673474,1
다사667476,1
다사671476,1
다사672475,1
다사690513,2
다사695513,2
다사692513,2
다사689513,2
다사689512,2
다사692503,2
다사691511,2
다사694504,2
다사689511,2
다사693513,2
다사693506,2
다사691513,2
다사693500,2
다사695510,2
다사693505,2
다사692504,2
다사692505,2
다사692506,2
다사692511,2
다사682503,3
다사682493,3
다사682505,3
다사679496,3
다사683493,3
다사680497,3
다사690498,3
다사686499,3
다사687500,3
다사685492,3
다사681493,3
다사679495,3
다사685501,3
다사685501,3
다사681496,3
다사684497,3
다사684501,3
다사680493,3
다사683499,3
다사682500,3
다사679507,3
다사686504,3
다사680496,3
다사682497,3
다사684493,3
다사685498,3
다사686498,3
다사684495,3
다사682495,3
다사680506,3
다사684499,3
다사687498,3
다사682496,3
다사683501,3
다사685499,3
다사679502,3
다사680498,3
다사681502,3
다사686500,3
다사690500,3
다사694497,3
다사682504,3
다사683498,3
다사668487,4
다사665489,4
다사665489,4
다사670486,4
다사675488,4
다사667488,4
다사667488,4
다사666485,4
다사672492,4
다사669493,4
다사675489,4
다사666491,4
다사672487,4
다사666490,4
다사663491,4
다사664490,4
다사664490,4
다사668490,4
다사674492,4
다사668489,4
다사667485,4
다사673489,4
다사673492,4
다사670488,4
다사671486,4
다사670492,4
다사669484,4
다사672493,4
다사666489,4
다사666489,4
다사673490,4
다사668485,4
다사673486,4
다사676490,4
다사667486,4
다사672484,4
다사674485,4
다사672489,4
다사666492,4
다사675492,4
다사671485,4
다사705510,5
다사708509,5
다사706509,5
다사709509,5
다사705513,5
다사702514,5
다사705509,5
다사702510,5
다사698513,5
다사704511,5
다사685481,6
다사686491,6
다사682483,6
다사680478,6
다사680489,6
다사679488,6
다사677484,6
다사683481,6
다사684480,6
다사683484,6
다사679489,6
다사678487,6
다사677489,6
다사678490,6
다사683485,6
다사685485,6
다사676482,6
다사675485,6
다사685483,6
다사684491,6
다사683483,6
다사679482,6
다사676483,6
다사679481,6
다사685490,6
다사680481,6
다사677482,6
다사680484,6
다사679486,6
다사681489,6
다사683478,6
다사686481,6
다사686488,6
다사680479,6
다사683491,6
다사680480,6
다사676484,6
다사676484,6
다사684487,6
다사678486,6
다사680488,6
다사681486,6
다사681488,6
다사684486,6
다사682482,6
다사680487,6
다사679485,6
다사685487,6
다사679484,6
다사685491,6
다사685482,6
