gid,관악구
다사502415,0
다사484408,0
다사499418,0
다사484416,0
다사482420,0
다사500419,0
다사483417,0
다사485403,0
다사498422,0
다사497415,0
다사484414,0
다사496421,0
다사498414,0
다사483416,0
다사503413,0
다사501412,0
다사502414,0
다사483418,0
다사484406,0
다사497413,0
다사481420,0
다사498419,0
다사498416,0
다사496416,0
다사495422,0
다사495413,0
다사501417,0
다사480421,0
다사500420,0
다사499413,0
다사498417,0
다사482418,0
다사502407,0
다사496415,0
다사499412,0
다사498411,0
다사501414,0
다사500421,0
다사483406,0
다사496414,0
다사497414,0
다사501415,0
다사482405,0
다사497412,0
다사500418,0
다사481418,0
다사481419,0
다사483413,0
다사498412,0
다사500415,0
다사498413,0
다사521410,0
다사515421,1
다사505423,1
다사523417,1
다사514423,1
다사517420,1
다사504423,1
다사504423,1
다사505428,1
다사517425,1
다사513427,1
다사521422,1
다사518431,1
다사525419,1
다사510424,1
다사513423,1
다사535420,1
다사509423,1
다사522422,1
다사508425,1
다사518421,1
다사525418,1
다사521420,1
다사508431,1
다사537419,1
다사536420,1
다사519434,1
다사509425,1
다사504424,1
다사520421,1
다사523421,1
다사519423,1
다사514427,1
다사513424,1
다사538418,1
다사509427,1
다사527418,1
다사533417,1
다사516421,1
다사517431,1
다사519422,1
다사516429,1
다사522421,1
다사511425,1
다사513426,1
다사513426,1
다사516422,1
다사512423,1
다사513425,1
다사514426,1
다사517430,1
다사504427,1
다사518433,1
다사516428,1
다사512425,1
다사504426,1
다사513422,1
다사507421,1
다사505426,1
다사545408,1
다사516431,1
다사524419,1
다사515424,1
다사517423,1
다사514424,1
다사512421,1
다사540417,1
다사516427,1
다사506425,1
다사508424,1
다사505424,1
다사522424,1
다사538420,1
다사539418,1
다사545409,1
다사526418,1
다사508430,1
다사515431,1
다사510423,1
다사506423,1
다사525417,1
다사524420,1
다사521421,1
다사518429,1
다사516426,1
다사514429,1
다사525420,1
다사503426,1
다사517422,1
다사516423,1
다사507423,1
다사512427,1
다사518420,1
다사538419,1
다사526414,1
다사510432,1
다사517424,1
다사523424,1
다사518424,1
다사534419,1
다사519432,1
다사526416,1
다사534418,1
다사515429,1
다사517426,1
다사512426,1
다사497429,2
다사497429,2
다사478425,2
다사493437,2
다사503431,2
다사493428,2
다사493428,2
다사490435,2
다사491431,2
다사498430,2
다사502431,2
다사479430,2
다사489430,2
다사471426,2
다사472427,2
다사492428,2
다사492428,2
다사489433,2
다사503428,2
다사502427,2
다사481429,2
다사503429,2
다사473426,2
다사472428,2
다사480427,2
다사475427,2
다사490431,2
다사490431,2
다사502432,2
다사483427,2
다사478427,2
다사486428,2
다사499431,2
다사484428,2
다사478430,2
다사483426,2
다사487429,2
다사496427,2
다사490430,2
다사502429,2
다사481432,2
다사504433,2
다사488430,2
다사491435,2
다사491435,2
다사501431,2
다사470424,2
다사500432,2
다사478426,2
다사492435,2
다사493427,2
다사483431,2
다사481424,2
다사495433,2
다사491425,2
다사493429,2
다사492434,2
다사480422,2
다사495437,2
다사493430,2
다사490425,2
다사492432,2
다사475425,2
다사500431,2
다사493433,2
다사493426,2
다사485428,2
다사481427,2
다사492427,2
다사475428,2
다사471425,2
다사477424,2
다사489432,2
다사489432,2
다사508432,2
다사474425,2
다사495431,2
다사477428,2
다사469424,2
다사491424,2
다사499429,2
다사482426,2
다사476425,2
다사494433,2
다사480430,2
다사484431,2
다사490427,2
다사482430,2
다사494427,2
다사494431,2
다사474429,2
다사500429,2
다사492431,2
다사474428,2
다사479426,2
다사486431,2
다사489434,2
다사492429,2
다사492437,2
다사476427,2
