gid,구로구
다사428438,0
다사426431,0
다사429439,0
다사427431,0
다사428433,0
다사428436,0
다사427437,0
다사428435,0
다사428431,0
다사427432,0
다사430436,0
다사430440,0
다사427438,0
다사432437,0
다사429436,0
다사426432,0
다사428432,0
다사427434,0
다사430438,0
다사453459,1
다사451457,1
다사456457,1
다사452452,1
다사459453,1
다사457456,1
다사451448,1
다사458453,1
다사457448,1
다사462450,1
다사456451,1
다사458454,1
다사453454,1
다사450449,1
다사449453,1
다사454448,1
다사463453,1
다사455451,1
다사462429,2
다사469429,2
다사461429,2
다사457432,2
다사462424,2
다사458434,2
다사460434,2
다사460430,2
다사461426,2
다사453434,2
다사460429,2
다사459429,2
다사455431,2
다사462432,2
다사460425,2
다사468426,2
다사461428,2
다사454431,2
다사459425,2
다사457427,2
다사468427,2
다사417442,3
다사414442,3
다사414442,3
다사424443,3
다사420442,3
다사415437,3
다사417439,3
다사421443,3
다사419443,3
다사417438,3
다사413441,3
다사413440,3
다사423441,3
다사418443,3
다사419439,3
다사416442,3
다사435449,4
다사434450,4
다사426446,4
다사433441,4
다사438447,4
다사436448,4
다사430443,4
다사440450,4
다사437446,4
다사428444,4
다사435444,4
다사430441,4
다사435450,4
다사438446,4
다사445443,4
다사438445,4
다사434443,4
다사459442,5
다사456446,5
다사458435,5
다사453438,5
다사460442,5
다사464439,5
다사459436,5
다사463438,5
다사457441,5
다사455440,5
다사452438,5
다사457442,5
다사452446,5
다사461443,5
다사464438,5
다사453446,5
다사460440,5
다사455444,5
다사460444,5
다사459443,5
다사459445,5
다사463440,5
다사446438,5
다사458442,5
다사423447,6
다사428453,6
다사418450,6
다사421447,6
다사421451,6
다사434451,6
다사430453,6
다사430454,6
다사424455,6
다사421449,6
다사429453,6
다사427455,6
다사428452,6
다사423450,6
다사431454,6
다사418449,6
다사423448,6
다사413434,7
다사415430,7
다사413435,7
다사414429,7
다사413432,7
다사413425,7
다사412432,7
다사398444,8
다사404444,8
다사399439,8
다사399438,8
다사397438,8
다사397444,8
다사404446,8
다사406447,8
다사407440,8
다사400442,8
