gid,도봉구
다사587630,0
다사585626,0
다사586627,0
다사587622,0
다사587628,0
다사589626,0
다사588629,0
다사588621,0
다사585632,0
다사587626,0
다사585631,0
다사588625,0
다사587629,0
다사589630,0
다사589628,0
다사587623,0
다사589624,0
다사585609,1
다사584609,1
다사587611,1
다사588614,1
다사588614,1
다사586610,1
다사585610,1
다사589609,1
다사583609,1
다사587610,1
다사585607,1
다사587604,1
다사589607,1
다사585606,1
다사581608,1
다사586609,1
다사586612,1
다사586611,1
다사587609,1
다사588608,1
다사596648,2
다사596650,2
다사602642,2
다사597654,2
다사598652,2
다사596641,2
다사598648,2
다사597646,2
다사595654,2
다사595643,2
다사590620,3
다사593624,3
다사592621,3
다사593618,3
다사589618,3
다사592624,3
다사591625,3
다사590622,3
다사595617,3
다사593622,3
다사593623,3
다사594619,3
다사592617,3
다사590621,3
다사592627,3
다사591614,3
다사591622,3
다사588619,3
다사589617,3
다사591619,3
다사594618,3
다사589601,4
다사592598,4
다사589604,4
다사593595,4
다사590598,4
다사588603,4
다사593596,4
다사590605,4
다사591601,4
다사591605,4
다사589599,4
다사570619,5
다사570619,5
다사571621,5
다사596618,6
다사600624,6
다사600615,6
다사600616,6
다사597616,6
다사599616,6
다사602611,6
다사602616,6
다사601621,6
다사580611,7
다사580623,7
다사581620,7
다사577621,7
다사584621,7
다사595629,8
다사593634,8
다사593631,8
다사596630,8
다사595627,8
다사598634,8
다사596631,8
다사593632,8
다사596633,8
다사594630,8
다사594634,8
다사594634,8
다사596634,8
다사593629,8
다사595633,8
다사594636,8
