gid,마포구
다사462532,0
다사456536,0
다사470518,0
다사472523,0
다사479524,0
다사471518,0
다사463531,0
다사465530,0
다사450541,0
다사459533,0
다사464530,0
다사457538,0
다사460532,0
다사464532,0
다사464531,0
다사464533,0
다사455537,0
다사476521,0
다사480524,0
다사465532,0
다사466532,0
다사479523,0
다사457535,0
다사475525,0
다사474523,0
다사466531,0
다사460534,0
다사524504,1
다사518498,1
다사507498,1
다사508491,1
다사512496,1
다사497498,1
다사515497,1
다사508492,1
다사513496,1
다사506498,1
다사506498,1
다사516506,1
다사504499,1
다사510497,1
다사508508,1
다사500506,1
다사497501,1
다사516504,1
다사509496,1
다사504500,1
다사517503,1
다사493499,1
다사496500,1
다사509493,1
다사499507,1
다사498495,1
다사502501,1
다사496497,1
다사498503,1
다사516500,1
다사522499,1
다사509492,1
다사506494,1
다사517505,1
다사519499,1
다사508498,1
다사499496,1
다사511493,1
다사507491,1
다사514503,1
다사522504,1
다사504498,1
다사513499,1
다사508507,1
다사500505,1
다사510501,1
다사511498,1
다사495497,1
다사497502,1
다사511496,1
다사513494,1
다사508500,1
다사519508,1
다사500504,1
다사500504,1
다사521503,1
다사502503,1
다사514499,1
다사515499,1
다사502496,1
다사504492,1
다사498502,1
다사508506,1
다사521499,1
다사495499,1
다사515509,1
다사518492,1
다사517506,1
다사514495,1
다사507507,1
다사515502,1
다사513497,1
다사517504,1
다사509509,1
다사497500,1
다사503507,1
다사516501,1
다사497504,1
다사519506,1
다사497505,1
다사501498,1
다사514490,1
다사508494,1
다사515498,1
다사523506,1
다사510492,1
다사495498,1
다사515496,1
다사509490,1
다사510495,1
다사514497,1
다사505499,1
다사509508,1
다사500507,1
다사509495,1
다사501501,1
다사507509,1
다사507509,1
다사516509,1
다사505491,1
다사511492,1
다사518496,1
다사501506,1
다사515501,1
다사523507,1
다사495501,1
다사508501,1
다사521501,1
다사512493,1
다사516505,1
다사509494,1
다사504497,1
다사515492,1
다사489506,2
다사484509,2
다사490513,2
다사482507,2
다사496507,2
다사476506,2
다사485506,2
다사488518,2
다사491507,2
다사479504,2
다사484501,2
다사488516,2
다사487506,2
다사473506,2
다사481498,2
다사487520,2
다사479503,2
다사475503,2
다사486500,2
다사487505,2
다사477508,2
다사492515,2
다사489513,2
다사489513,2
다사471509,2
다사489499,2
다사482515,2
다사473517,2
다사484499,2
다사487500,2
다사486506,2
다사485503,2
다사467509,2
다사489515,2
다사490515,2
다사471506,2
다사487516,2
다사487519,2
다사490506,2
다사479509,2
다사489517,2
다사487502,2
다사477506,2
다사483515,2
다사494516,2
다사478509,2
다사485499,2
다사482511,2
다사471510,2
다사486512,2
다사486501,2
다사486519,2
다사478512,2
다사497507,2
다사486503,2
다사490505,2
다사492511,2
다사485507,2
다사477512,2
다사486502,2
다사490497,2
다사485501,2
다사488509,2
다사470513,2
다사490518,2
다사474508,2
다사470507,2
다사485508,2
다사498507,2
다사484504,2
다사488501,2
다사491516,2
다사477502,2
다사472514,2
다사484515,2
다사493509,2
다사476509,2
다사488502,2
다사487507,2
다사486513,2
다사482503,2
다사482508,2
다사480498,2
다사485509,2
다사471507,2
다사489509,2
다사488515,2
다사486509,2
다사492506,2
다사469509,2
다사480505,2
다사476502,2
다사491506,2
다사480503,2
다사490512,2
다사471515,2
다사489512,2
다사483506,2
다사481506,2
다사479499,2
다사476508,2
다사480497,2
다사492516,2
다사478511,2
다사487508,2
다사492508,2
다사496506,2
다사476501,2
다사491508,2
다사487504,2
다사473505,2
다사487513,2
다사472504,2
다사481500,2
다사488517,2
다사490509,2
다사486515,2
다사486498,2
다사482512,2
다사492512,2
다사482505,2
다사498509,2
다사474505,2
다사486514,2
다사486514,2
다사483520,2
다사493506,2
다사490516,2
다사475508,2
다사491498,2
다사475507,2
다사489516,2
다사487501,2
다사484513,2
다사475510,2
다사493508,2
다사487517,2
다사471514,2
다사479500,2
다사468507,2
다사486516,2
다사489514,2
다사472506,2
다사483512,2
다사477503,2
다사472510,2
다사488512,2
다사483513,2
다사482499,2
다사478507,2
다사487518,2
다사475509,2
다사487510,2
다사480501,2
다사481504,2
다사472508,2
다사483502,2
다사489510,2
다사489500,2
다사479518,2
다사481508,2
다사480499,2
다사485515,2
다사491514,2
다사471505,2
다사474510,2
다사474510,2
다사491512,2
다사478502,2
다사471504,2
다사484512,2
다사490503,2
다사470510,2
다사487515,2
다사497509,2
다사482510,2
다사473511,2
다사491515,2
다사483498,2
다사470509,2
다사470509,2
다사472509,2
다사479507,2
다사483507,2
다사474509,2
다사481511,2
다사486504,2
다사488508,2
다사488507,2
다사487509,2
다사481509,2
다사497508,2
다사487499,2
다사489519,2
다사479511,2
다사484507,2
다사480500,2
다사477509,2
다사486505,2
다사470511,2
다사477507,2
다사480504,2
다사484508,2
다사495509,2
다사485519,2
다사493510,2
다사490508,2
다사490514,2
다사487512,2
다사491517,2
다사484502,2
다사491510,2
다사471513,2
다사488510,2
다사468512,2
다사472507,2
다사488506,2
다사488505,2
