gid,성북구
다사568548,0
다사576544,0
다사570551,0
다사565546,0
다사571548,0
다사568549,0
다사570550,0
다사573547,0
다사573547,0
다사569544,0
다사569543,0
다사575545,0
다사572546,0
다사571550,0
다사574549,0
다사566543,0
다사572547,0
다사574546,0
다사570553,0
다사572545,0
다사574547,0
다사575548,0
다사565543,0
다사571544,0
다사570544,0
다사573545,0
다사575552,0
다사573548,0
다사574552,0
다사564542,0
다사573551,0
다사571552,0
다사567547,0
다사574551,0
다사572550,0
다사570546,0
다사569546,0
다사569549,0
다사569549,0
다사572549,0
다사571545,0
다사569547,0
다사571549,0
다사572543,0
다사572544,0
다사567548,0
다사602565,1
다사611561,1
다사601565,1
다사612563,1
다사597566,1
다사605567,1
다사613570,1
다사612572,1
다사601564,1
다사599563,1
다사600565,1
다사611566,1
다사602567,1
다사603567,1
다사601566,1
다사607565,1
다사616571,1
다사608566,1
다사601568,1
다사608567,1
다사613572,1
다사606568,1
다사565571,2
다사565571,2
다사556565,2
다사563572,2
다사569566,2
다사558569,2
다사558565,2
다사564568,2
다사561570,2
다사563570,2
다사563567,2
다사564564,2
다사565565,2
다사567574,2
다사572568,2
다사563569,2
다사571565,2
다사567569,2
다사572569,2
다사580567,3
다사580568,3
다사582570,3
다사581567,3
다사574568,3
다사583570,3
다사584569,3
다사581564,3
다사582568,3
다사576566,3
다사576567,3
다사582565,3
다사582569,3
다사576570,3
다사577564,3
다사560546,4
다사563545,4
다사560545,4
다사555550,4
다사551549,4
다사557549,4
다사562544,4
다사555556,4
다사562545,4
다사549556,4
다사556549,4
다사548551,4
다사558549,4
다사587548,5
다사585542,5
다사581543,5
다사588548,5
다사586550,5
다사586544,5
다사579543,5
다사584544,5
다사588549,5
다사583541,5
다사585561,6
다사585555,6
다사585563,6
다사593564,6
다사587554,6
다사593560,6
다사589562,6
다사593561,6
다사589563,6
다사588561,6
다사586558,6
다사583560,6
다사589565,6
다사596564,6
다사586556,6
다사592564,6
다사589561,6
다사587562,6
다사585557,6
다사583562,6
다사583561,6
다사584560,6
다사584560,6
다사588565,6
다사585559,6
다사584559,6
다사588558,6
다사592561,6
다사595563,6
다사587556,6
다사587564,6
다사593562,6
다사593562,6
다사570559,7
다사570559,7
다사569561,7
다사577560,7
다사575555,7
다사569555,7
다사573561,7
다사566560,7
다사578559,7
다사572560,7
다사568557,7
다사573563,7
다사574564,7
다사569559,7
다사569563,7
다사567557,7
다사567556,7
다사572559,7
다사572556,7
다사567558,7
다사577562,7
다사599575,8
다사600575,8
다사599572,8
다사601572,8
다사603575,8
다사597576,8
다사599579,8
다사600576,8
다사601576,8
다사606577,8
다사593572,8
다사573542,9
다사573541,9
다사575533,9
다사575536,9
다사575543,9
다사575539,9
다사576537,9
다사575542,9
다사583537,9
다사574537,9
다사578535,9
다사581537,9
다사577542,9
다사574542,9
다사564540,9
다사576535,9
다사574538,9
다사572541,9
다사572541,9
다사574536,9
다사569537,9
다사580537,9
