gid,송파구
다사642445,0
다사644452,0
다사638447,0
다사642451,0
다사633448,0
다사642448,0
다사642452,0
다사639448,0
다사641446,0
다사644448,0
다사640449,0
다사636446,0
다사639449,0
다사637451,0
다사633447,0
다사636453,0
다사638452,0
다사641452,0
다사634450,0
다사634451,0
다사635449,0
다사635449,0
다사639453,0
다사640453,0
다사639452,0
다사637453,0
다사638458,0
다사635453,0
다사642446,0
다사639450,0
다사633450,0
다사636450,0
다사641449,0
다사660450,1
다사663443,1
다사666438,1
다사663444,1
다사667445,1
다사663438,1
다사666445,1
다사663445,1
다사665445,1
다사660443,1
다사660444,1
다사667448,1
다사661440,1
다사665440,1
다사663440,1
다사668447,1
다사662444,1
다사665447,1
다사665439,1
다사663441,1
다사663439,1
다사667444,1
다사661448,1
다사657446,1
다사662442,1
다사659448,1
다사660441,1
다사660442,1
다사661444,1
다사667447,1
다사662439,1
다사668448,1
다사658453,2
다사655455,2
다사647469,2
다사658457,2
다사653463,2
다사658463,2
다사660460,2
다사650461,2
다사654458,2
다사656459,2
다사654457,2
다사656457,2
다사652455,2
다사656458,2
다사659460,2
다사654463,2
다사655458,2
다사657461,2
다사659456,2
다사661460,2
다사656463,2
다사653456,2
다사644462,2
다사655456,2
다사643463,2
다사655457,2
다사658469,2
다사657458,2
다사653461,2
다사655468,2
다사645464,2
다사653457,2
다사655459,2
다사658455,2
다사661481,3
다사659479,3
다사662482,3
다사666485,3
다사663479,3
다사666488,3
다사663478,3
다사665488,3
다사663482,3
다사664479,3
다사661484,3
다사662476,3
다사665487,3
다사664486,3
다사663488,3
다사662478,3
다사664489,3
다사657478,3
다사658478,3
다사661480,3
다사661485,3
다사663480,3
다사691441,4
다사684444,4
다사689443,4
다사687440,4
다사685445,4
다사694441,4
다사688438,4
다사683437,4
다사683441,4
다사684443,4
다사689439,4
다사684437,4
다사687438,4
다사689446,4
다사685436,4
다사690439,4
다사688446,4
다사682438,4
다사690442,4
다사685437,4
다사684438,4
다사663452,5
다사664456,5
다사668457,5
다사659452,5
다사666449,5
다사669449,5
다사662453,5
다사663457,5
다사664460,5
다사662459,5
다사670454,5
다사671456,5
다사670455,5
다사666456,5
다사669453,5
다사669454,5
다사672456,5
다사665456,5
다사673462,5
다사662452,5
다사673454,5
다사663453,5
다사667455,5
다사665459,5
다사668456,5
다사669456,5
다사665457,5
다사661453,5
다사671452,5
다사664458,5
다사665454,5
다사668454,5
다사672452,5
다사663454,5
다사627458,6
다사630457,6
다사629458,6
다사630456,6
다사628452,6
다사627452,6
다사621454,6
다사628458,6
다사633454,6
다사630453,6
다사632454,6
다사631451,6
다사626453,6
다사630454,6
다사629456,6
다사629457,6
다사633451,6
다사630450,6
다사630451,6
다사626452,6
다사628455,6
다사629459,6
다사639462,6
다사631457,6
다사630455,6
다사668433,7
다사662432,7
다사656433,7
다사665426,7
다사668432,7
다사670428,7
다사667431,7
다사667427,7
다사667430,7
다사670424,7
다사665433,7
다사657430,7
다사669430,7
다사666427,7
다사659429,7
다사663423,7
다사667436,7
다사671432,7
다사669427,7
다사668434,7
다사666435,7
다사668427,7
다사666426,7
다사675440,8
다사671438,8
다사674442,8
다사674439,8
다사675441,8
다사667438,8
다사670435,8
다사674440,8
다사675442,8
다사671441,8
다사671442,8
다사670441,8
다사668440,8
다사674443,8
다사671439,8
다사673443,8
다사676443,8
다사677419,9
다사681417,9
다사681423,9
다사682420,9
다사684430,9
다사680418,9
다사682423,9
다사681425,9
다사681424,9
다사680419,9
다사653448,10
다사646445,10
다사648453,10
다사650455,10
다사647452,10
다사651447,10
다사647447,10
다사654448,10
다사651450,10
다사649450,10
다사649447,10
다사650454,10
다사650443,10
다사650453,10
다사651449,10
다사652452,10
다사652452,10
다사652454,10
다사653451,10
다사647449,10
다사647446,10
다사648451,10
다사653447,10
다사649453,10
다사651453,10
다사653450,10
다사649449,10
다사655446,10
다사648445,10
다사656450,10
다사679448,11
다사684445,11
다사677450,11
다사677448,11
다사679449,11
다사679444,11
다사675450,11
다사681446,11
다사678448,11
다사682446,11
다사682445,11
다사683445,11
다사676448,11
다사677454,11
