gid,영등포구
다사469469,0
다사466473,0
다사471472,0
다사474476,0
다사460476,0
다사455471,0
다사460462,0
다사465473,0
다사468477,0
다사466472,0
다사475475,0
다사460494,0
다사459474,0
다사462488,0
다사472474,0
다사462475,0
다사471476,0
다사457474,0
다사460463,0
다사464487,0
다사474475,0
다사458468,0
다사464458,0
다사457464,0
다사466479,0
다사464474,0
다사468468,0
다사470484,0
다사460491,0
다사465480,0
다사459476,0
다사472476,0
다사466476,0
다사474478,0
다사464476,0
다사471479,0
다사466463,0
다사474472,0
다사462467,0
다사455464,0
다사456465,0
다사462491,0
다사473464,0
다사455473,0
다사462464,0
다사460468,0
다사473473,0
다사467464,0
다사464469,0
다사470483,0
다사469484,0
다사467466,0
다사459475,0
다사458469,0
다사455466,0
다사470469,0
다사473475,0
다사470465,0
다사467472,0
다사463477,0
다사468484,0
다사463476,0
다사465470,0
다사468475,0
다사458474,0
다사471477,0
다사461489,0
다사457476,0
다사465481,0
다사465474,0
다사471471,0
다사466485,0
다사463467,0
다사462487,0
다사459469,0
다사464484,0
다사465477,0
다사470468,0
다사476472,0
다사461488,0
다사472470,0
다사469477,0
다사454474,0
다사459464,0
다사467478,0
다사471469,0
다사463488,0
다사457470,0
다사459467,0
다사475467,0
다사461474,0
다사473479,0
다사464473,0
다사467486,0
다사473465,0
다사465446,1
다사471441,1
다사471456,1
다사485444,1
다사476458,1
다사474443,1
다사467448,1
다사473435,1
다사479452,1
다사464457,1
다사484444,1
다사465457,1
다사472460,1
다사475454,1
다사481447,1
다사482445,1
다사477451,1
다사465447,1
다사480445,1
다사479447,1
다사474439,1
다사475439,1
다사466456,1
다사472431,1
다사464456,1
다사465439,1
다사466442,1
다사484446,1
다사464448,1
다사466458,1
다사476452,1
다사474438,1
다사474441,1
다사470440,1
다사486446,1
다사479448,1
다사472453,1
다사481443,1
다사470450,1
다사484447,1
다사474453,1
다사473451,1
다사477454,1
다사473433,1
다사469443,1
다사465441,1
다사484445,1
다사474446,1
다사474436,1
다사474445,1
다사471453,1
다사473437,1
다사471442,1
다사468454,1
다사476467,2
다사488480,2
다사481460,2
다사500469,2
다사491460,2
다사491467,2
다사490462,2
다사488469,2
다사485449,2
다사490469,2
다사486451,2
다사483462,2
다사487478,2
다사489458,2
다사486479,2
다사494466,2
다사492461,2
다사487458,2
다사478469,2
다사488454,2
다사490459,2
다사486452,2
다사492469,2
다사485450,2
다사491469,2
다사488479,2
다사488450,2
다사486454,2
다사484462,2
다사478461,2
다사501468,2
다사482458,2
다사483463,2
다사482460,2
다사486459,2
다사496472,2
다사495469,2
다사492468,2
다사495468,2
다사478470,2
다사487460,2
다사492467,2
다사482463,2
다사489460,2
다사481461,2
다사478466,2
