gid,종로구
다사527550,0
다사525549,0
다사524548,0
다사526548,0
다사524553,0
다사526549,0
다사523554,0
다사523550,0
다사563525,1
다사557528,1
다사563524,1
다사557525,1
다사557529,1
다사556524,1
다사559524,1
다사562525,1
다사565530,1
다사555528,1
다사565528,1
다사559523,1
다사563526,1
다사557527,1
다사560530,1
다사561531,1
다사565525,1
다사556523,1
다사557531,1
다사562524,1
다사556530,1
다사557524,1
다사556529,1
다사561525,1
다사561527,1
다사555527,1
다사565526,1
다사556527,1
다사561524,1
다사523528,2
다사536523,2
다사528530,2
다사527524,2
다사532525,2
다사533522,2
다사533525,2
다사532530,2
다사527522,2
다사533527,2
다사521530,2
다사524525,2
다사532527,2
다사533528,2
다사528529,2
다사534525,2
다사533526,2
다사531526,2
다사530527,2
다사532529,2
다사530530,2
다사531529,2
다사522528,2
다사542536,3
다사542534,3
다사542537,3
다사544532,3
다사543531,3
다사542532,3
다사544536,3
다사540539,3
다사544534,3
다사544534,3
다사544533,3
다사544533,3
다사542535,3
다사546537,3
다사544535,3
다사544537,3
다사543533,3
다사543537,3
다사540538,3
다사540538,3
다사543532,3
다사544538,3
다사570527,4
다사569526,4
다사568526,4
다사577528,4
다사572524,4
다사572535,4
다사569527,4
다사578530,4
다사570525,4
다사574528,4
다사574529,4
다사569529,4
다사569529,4
다사571535,4
다사575528,4
다사573528,4
다사576527,4
다사578529,4
다사578531,4
다사567527,4
다사577527,4
다사572530,4
다사572525,4
다사574525,4
다사576528,4
다사578528,4
다사568527,4
다사567530,4
다사569532,4
다사528565,5
다사520565,5
다사527564,5
다사523558,5
다사517558,5
다사521564,5
다사523566,5
다사520560,5
다사526563,5
다사522559,5
다사542528,6
다사546526,6
다사549523,6
다사547527,6
다사543526,6
다사548527,6
다사547523,6
다사551524,6
다사549525,6
다사546529,6
다사545523,6
다사546523,6
다사548524,6
다사547529,6
다사545522,6
다사548525,6
다사541526,6
다사545528,6
다사546527,6
다사543523,6
다사548526,6
다사542529,6
다사555539,7
다사562537,7
다사556538,7
다사558544,7
다사559536,7
다사559536,7
다사558538,7
다사559538,7
다사560546,7
다사560545,7
다사553540,7
다사554539,7
다사556536,7
다사555540,7
다사559545,7
다사552543,7
다사555546,7
다사556542,7
다사557537,7
다사558539,7
다사558536,7
다사558537,7
다사556537,7
다사556537,7
다사558543,7
다사557539,7
다사557543,7
다사556541,7
다사558548,7
다사555538,7
다사537571,8
다사537570,8
다사534569,8
다사534570,8
다사533569,8
다사530532,9
다사532534,9
다사532531,9
다사528535,9
다사530537,9
다사529540,9
다사528532,9
다사531531,9
다사529532,9
다사531534,9
다사529534,9
다사531532,9
다사530533,9
다사527534,9
다사530536,9
다사528534,9
다사532532,9
다사530538,9
다사530539,9
