gid,중랑구
다사642555,0
다사637559,0
다사640561,0
다사640563,0
다사644565,0
다사639553,0
다사641555,0
다사643565,0
다사639554,0
다사639559,0
다사641565,0
다사638554,0
다사641556,0
다사644558,0
다사640555,0
다사639555,0
다사644556,0
다사636559,0
다사643563,0
다사639563,0
다사641560,0
다사644552,0
다사644564,0
다사642559,0
다사642556,0
다사642552,0
다사621549,1
다사622549,1
다사626547,1
다사623550,1
다사626551,1
다사625542,1
다사626546,1
다사626542,1
다사627548,1
다사627540,1
다사622550,1
다사621551,1
다사626548,1
다사626540,1
다사628546,1
다사623543,1
다사624546,1
다사625548,1
다사626545,1
다사624549,1
다사627545,1
다사628540,1
다사623548,1
다사627543,1
다사634534,2
다사629531,2
다사634536,2
다사631531,2
다사631532,2
다사632538,2
다사632538,2
다사631529,2
다사630529,2
다사634542,2
다사634540,2
다사631533,2
다사634535,2
다사633534,2
다사636535,2
다사629538,2
다사629527,2
다사632525,2
다사633533,2
다사633537,2
다사629529,2
다사634539,2
다사633540,2
다사633536,2
다사632535,2
다사635537,2
다사632533,2
다사624567,3
다사625571,3
다사623568,3
다사625575,3
다사624569,3
다사627575,3
다사624572,3
다사626566,3
다사626575,3
다사624565,3
다사631575,3
다사629575,3
다사625570,3
다사624574,3
다사626570,3
다사627572,3
다사624570,3
다사624571,3
다사624573,3
다사625574,3
다사648576,4
다사651568,4
다사653576,4
다사647576,4
다사632550,5
다사636550,5
다사633553,5
다사633545,5
다사632543,5
다사633550,5
다사633544,5
다사632553,5
다사632553,5
다사630547,5
다사632548,5
다사632552,5
다사629551,5
다사635554,5
다사633559,5
다사631554,5
다사631551,5
다사632551,5
다사637550,5
다사632546,5
다사634544,5
다사643545,6
다사637539,6
다사640542,6
다사643550,6
다사639542,6
다사642544,6
다사639545,6
다사642543,6
다사643544,6
다사640541,6
다사640543,6
다사643547,6
다사641551,6
다사638536,6
다사642550,6
다사638541,6
다사642548,6
다사636544,6
다사638550,6
다사639547,6
다사638537,6
다사627556,7
다사626556,7
다사625557,7
다사626561,7
다사626559,7
다사621554,7
다사625563,7
다사624553,7
다사625556,7
다사625555,7
다사628558,7
다사626562,7
다사626558,7
다사626555,7
다사625558,7
다사626560,7
다사622553,7
다사638572,8
다사637575,8
다사638574,8
다사639575,8
다사636575,8
다사647557,8
다사646562,8
다사651559,8
다사648557,8
다사650557,8
다사651557,8
다사646558,8
다사645557,8
다사647558,8
