gid,lbl,layer,path,ADM_DR_CD,ADM_DR_NM,OBJECTID,8_num,총인��,생산인�,유동인�,NUMPOINTS,area_sum,review_vis,review_blo,avg_sal_su,xcoord,ycoord
다사579454,"136.00",강남구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강남구_202204/강남구.shp,"1123052",논현1동,"360","11680521",0.006,6338.698,37.050,0.000000000000000,,,,,127.024222527254935,37.507367548184661
다사585452,"21.00",강남구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강남구_202204/강남구.shp,"1123064",역삼1동,"366","11680640",0.001,2622.636,18.164,3.000000000000000,372.340000,482.000000,34.000000,2220000.000000,127.031022334031178,37.505592025461105
다사583456,"440.00",강남구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강남구_202204/강남구.shp,"1123052",논현1동,"360","11680521",0.019,20072.545,117.325,1.000000000000000,29.700000,60.000000,2.000000,569333.333000,127.028736879836558,37.509188359922291
다사597458,"62.00",강남구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강남구_202204/강남구.shp,"1123059",삼성2동,"363","11680590",0.002,1938.262,12.312,1.000000000000000,25.900000,404.000000,36.000000,811000.000000,127.044566238022242,37.511053168915325
다사595438,"24.00",강남구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강남구_202204/강남구.shp,"1123065",역삼2동,"367","11680650",0.001,1312.213,5.999,0.000000000000000,,,,,127.042358114587344,37.493163011271790
다사595438,"24.00",강남구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강남구_202204/강남구.shp,"1123066",도곡1동,"368","11680655",0.001,858.048,7.006,0.000000000000000,,,,,127.042519882433936,37.492737024177757
다사584464,"23.00",강남구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강남구_202204/강남구.shp,"1123052",논현1동,"360","11680521",0.001,1056.450,6.175,0.000000000000000,,,,,127.029493449613568,37.516331537818047
다사584464,"23.00",강남구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강남구_202204/강남구.shp,"1123053",논현2동,"361","11680531",0.001,1070.405,8.640,1.000000000000000,45.860000,2.000000,4.000000,580000.000000,127.030032033827950,37.516449181213872
다사587471,"15.00",강남구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강남구_202204/강남구.shp,"1123077",압구정동,"377","11680545",0.001,1065.723,10.398,0.000000000000000,,,,,127.033178466896089,37.522726343341382
다사581459,"321.00",강남구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강남구_202204/강남구.shp,"1123052",논현1동,"360","11680521",0.014,14790.296,86.450,0.000000000000000,,,,,127.026456899662634,37.511883312561096
다사592435,"496.00",강남구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강남구_202204/강남구.shp,"1123066",도곡1동,"368","11680655",0.019,16302.908,133.114,0.000000000000000,,,,,127.039036304669722,37.490300461751183
다사596460,"136.00",강남구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강남구_202204/강남구.shp,"1123053",논현2동,"361","11680531",0.006,6422.432,51.840,0.000000000000000,,,,,127.042926777908448,37.512583141575547
다사596460,"136.00",강남구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강남구_202204/강남구.shp,"1123059",삼성2동,"363","11680590",0.004,3876.523,24.624,0.000000000000000,,,,,127.043452468775371,37.512866963644690
다사579456,"366.00",강남구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강남구_202204/강남구.shp,"1123052",논현1동,"360","11680521",0.016,16903.196,98.800,3.000000000000000,113.850000,214.000000,13.000000,1707999.999000,127.024211085709055,37.509170216679664
다사647409,"302.00",강남구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강남구_202204/강남구.shp,"1123076",세곡동,"376","11680700",0.007,7540.808,39.837,0.000000000000000,,,,,127.101375282877555,37.467091780406051
다사648409,"501.00",강남구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강남구_202204/강남구.shp,"1123076",세곡동,"376","11680700",0.012,12927.100,68.292,0.000000000000000,,,,,127.102506108198995,37.467095589726256
다사593437,"52.00",강남구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강남구_202204/강남구.shp,"1123064",역삼1동,"366","11680640",0.001,2622.636,18.164,0.000000000000000,,,,,127.040070056108988,37.492355010957603
다사593437,"52.00",강남구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강남구_202204/강남구.shp,"1123066",도곡1동,"368","11680655",0.002,1716.096,14.012,0.000000000000000,,,,,127.040219395261474,37.491927097467965
