gid,lbl,layer,path,ADM_DR_CD,ADM_DR_NM,OBJECTID,8_num,총인��,생산인�,유동인�,NUMPOINTS,area_sum,review_vis,review_blo,avg_sal_su,xcoord,ycoord
다사682503,"549.00",강동구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강동구_202204/강동구.shp,"1125053",명일1동,"410","11740530",0.019,12070.836,41.097,0.000000000000000,,,,,127.140957074621014,37.551675791350938
다사682503,"549.00",강동구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강동구_202204/강동구.shp,"1125072",암사1동,"423","11740570",0.013,8512.140,19.305,2.000000000000000,82.580000,2366.000000,21.000000,427333.334000,127.140489520782580,37.551984032541803
다사708496,"97.00",강동구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강동구_202204/강동구.shp,"1125052",상일동,"409","11740525",0.003,,21.909,0.000000000000000,,,,,127.170011000024090,37.545721857023814
다사710501,"276.00",강동구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강동구_202204/강동구.shp,"1125051",강일동,"408","11740515",0.006,7434.532,27.414,0.000000000000000,,,,,127.172813801754643,37.550658182542477
다사710501,"276.00",강동구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강동구_202204/강동구.shp,"1125052",상일동,"409","11740525",0.008,,58.424,1.000000000000000,21.480000,169.000000,0.000000,2540000.000000,127.172254902768913,37.550234576578283
다사677501,"510.00",강동구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강동구_202204/강동구.shp,"1125072",암사1동,"423","11740570",0.012,7857.360,17.820,0.000000000000000,,,,,127.134896470751116,37.550125278428823
다사667479,"59.00",강동구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강동구_202204/강동구.shp,"1125065",성내1동,"418","11740640",0.002,1133.952,4.340,0.000000000000000,,,,,127.123675327445980,37.530260228160110
다사696515,"73.00",강동구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강동구_202204/강동구.shp,"1125055",고덕1동,"412","11740550",0.003,1755.208,5.163,0.000000000000000,,,,,127.156331916691414,37.562798057456462
다사682493,"811.00",강동구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강동구_202204/강동구.shp,"1125061",천호1동,"416","11740600",0.023,16421.656,39.790,3.000000000000000,102.270000,97.000000,10.000000,1407999.999000,127.140615126078274,37.542962392803915
다사682493,"811.00",강동구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강동구_202204/강동구.shp,"1125063",천호3동,"417","11740620",0.025,16793.313,36.700,0.000000000000000,,,,,127.140290203111718,37.542543021432721
다사671505,"213.00",강동구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강동구_202204/강동구.shp,"1125058",암사2동,"414","11740580",0.012,4361.961,27.900,0.000000000000000,,,,,127.128086061571793,37.553709438828619
다사676474,"318.00",강동구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강동구_202204/강동구.shp,"1125067",성내3동,"420","11740660",0.012,7594.997,39.696,0.000000000000000,,,,,127.133883393283313,37.525785527461949
다사672504,"400.00",강동구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강동구_202204/강동구.shp,"1125058",암사2동,"414","11740580",0.023,8360.425,53.475,0.000000000000000,,,,,127.128656479879396,37.553254766016870
다사672504,"400.00",강동구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강동구_202204/강동구.shp,"1125072",암사1동,"423","11740570",0.010,6547.800,14.850,0.000000000000000,,,,,127.129222693565595,37.552811636284368
다사704514,"13.00",강동구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강동구_202204/강동구.shp,"1125056",고덕2동,"413","11740560",0.000,0.000,0.000,0.000000000000000,,,,,127.165410392316545,37.561933290671838
다사685481,"382.00",강동구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강동구_202204/강동구.shp,"1125071",둔촌2동,"422","11740700",0.015,9747.700,48.645,2.000000000000000,95.000000,222.000000,103.000000,862666.666000,127.144038853440279,37.532126076462198
다사668487,"272.00",강동구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강동구_202204/강동구.shp,"1125066",성내2동,"419","11740650",0.009,5306.001,50.265,1.000000000000000,821.910000,5357.000000,177.000000,294666.667000,127.124770983198658,37.537474566100357
다사666476,"465.00",강동구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강동구_202204/강동구.shp,"1125065",성내1동,"418","11740640",0.019,10772.543,41.230,0.000000000000000,,,,,127.122557171834316,37.527552588350275
다사675498,"495.00",강동구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강동구_202204/강동구.shp,"1125072",암사1동,"423","11740570",0.012,7857.360,17.820,0.000000000000000,,,,,127.133075564557629,37.547809078783409
다사675498,"495.00",강동구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강동구_202204/강동구.shp,"1125073",천호2동,"424","11740610",0.013,13843.900,64.623,0.000000000000000,,,,,127.132630528985061,37.547400416520958
다사665492,"402.00",강동구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강동구_202204/강동구.shp,"1125073",천호2동,"424","11740610",0.011,11714.069,54.681,0.000000000000000,,,,,127.121352523736746,37.541970431929713
다사665496,"9.00",강동구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강동구_202204/강동구.shp,"1125073",천호2동,"424","11740610",0.000,0.000,0.000,1.000000000000000,15.000000,5.000000,0.000000,565666.667000,127.121334288594355,37.545575792885074
다사694506,"329.00",강동구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강동구_202204/강동구.shp,"1125054",명일2동,"411","11740540",0.015,5725.999,39.825,0.000000000000000,,,,,127.154139232759007,37.554642436625002
다사694506,"329.00",강동구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강동구_202204/강동구.shp,"1125055",고덕1동,"412","11740550",0.012,7020.833,20.652,0.000000000000000,,,,,127.153971449644217,37.555081437758929
다사690513,"307.00",강동구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강동구_202204/강동구.shp,"1125055",고덕1동,"412","11740550",0.011,6435.764,18.931,1.000000000000000,82.260000,54.000000,11.000000,452666.667000,127.149562918483596,37.560985962999631
다사665477,"383.00",강동구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강동구_202204/강동구.shp,"1125065",성내1동,"418","11740640",0.015,8504.639,32.550,1.000000000000000,26.440000,106.000000,3.000000,398666.667000,127.121420876589255,37.528450308625651
다사671492,"39.00",강동구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강동구_202204/강동구.shp,"1125073",천호2동,"424","11740610",0.001,1064.915,4.971,0.000000000000000,,,,,127.128144274499590,37.541992014740799
다사674497,"543.00",강동구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강동구_202204/강동구.shp,"1125073",천호2동,"424","11740610",0.015,15973.731,74.565,1.000000000000000,105.600000,384.000000,9.000000,565666.667000,127.131517971402758,37.546509365727687
다사686491,"520.00",강동구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강동구_202204/강동구.shp,"1125074",길동,"425","11740685",0.010,13466.762,38.900,1.000000000000000,99.310000,63.000000,3.000000,382666.667000,127.145127954657070,37.541142919846905
다사675503,"667.00",강동구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강동구_202204/강동구.shp,"1125072",암사1동,"423","11740570",0.016,10476.480,23.760,0.000000000000000,,,,,127.132623457150444,37.551920936298451
다사671491,"7.00",강동구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강동구_202204/강동구.shp,"1125073",천호2동,"424","11740610",0.000,0.000,0.000,0.000000000000000,,,,,127.128148751020902,37.541090673457624
다사695513,"313.00",강동구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강동구_202204/강동구.shp,"1125055",고덕1동,"412","11740550",0.011,6435.764,18.931,1.000000000000000,69.400000,208.000000,140.000000,452666.667000,127.155224165994085,37.561002630809888
다사667500,"263.00",강동구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강동구_202204/강동구.shp,"1125058",암사2동,"414","11740580",0.015,5452.451,34.875,3.000000000000000,75.060000,280.000000,193.000000,891999.999000,127.123580284817038,37.549188473171206
다사667500,"263.00",강동구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강동구_202204/강동구.shp,"1125073",천호2동,"424","11740610",0.007,7454.408,34.797,0.000000000000000,,,,,127.123029798446311,37.548739047641675
다사688482,"805.00",강동구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강동구_202204/강동구.shp,"1125071",둔촌2동,"422","11740700",0.031,20145.248,100.533,0.000000000000000,,,,,127.147430047129021,37.533037606616432
