gid,lbl,layer,path,ADM_DR_CD,ADM_DR_NM,OBJECTID,8_num,총인��,생산인�,유동인�,NUMPOINTS,area_sum,review_vis,review_blo,avg_sal_su,xcoord,ycoord
다사569610,"341.00",강북구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강북구_202204/강북구.shp,"1109074",우이동,"142","11305645",0.014,6501.563,41.244,0.000000000000000,,,,,127.011991529451322,37.647927677887893
다사588585,"357.00",강북구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강북구_202204/강북구.shp,"1109061",번2동,"132","11305603",0.016,,12.208,1.000000000000000,21.000000,37.000000,0.000000,331333.333000,127.033669830305953,37.625481910986217
다사580602,"279.00",강북구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강북구_202204/강북구.shp,"1109065",수유3동,"136","11305635",0.010,,26.190,0.000000000000000,,,,,127.024506534199020,37.640768092079369
다사599586,"650.00",강북구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강북구_202204/강북구.shp,"1109062",번3동,"133","11305608",0.030,,29.640,0.000000000000000,,,,,127.046129677342890,37.626431836219595
다사569577,"870.00",강북구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강북구_202204/강북구.shp,"1109073",삼각산동,"141","11305575",0.023,11815.241,57.707,0.000000000000000,,,,,127.012186000182624,37.618184331104715
다사573595,"218.00",강북구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강북구_202204/강북구.shp,"1109063",수유1동,"134","11305615",0.009,,12.924,0.000000000000000,,,,,127.016748022304000,37.634013100558604
다사573595,"218.00",강북구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강북구_202204/강북구.shp,"1109075",인수동,"143","11305660",0.006,4070.943,13.512,0.000000000000000,,,,,127.016603270639479,37.634457544996501
다사573588,"355.00",강북구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강북구_202204/강북구.shp,"1109063",수유1동,"134","11305615",0.014,,20.104,0.000000000000000,,,,,127.016507841554699,37.628380911044268
다사573588,"355.00",강북구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강북구_202204/강북구.shp,"1109069",삼양동,"137","11305534",0.011,5979.641,13.992,0.000000000000000,,,,,127.016731199252263,37.627978836822351
다사568602,"209.00",강북구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강북구_202204/강북구.shp,"1109075",인수동,"143","11305660",0.006,4070.943,13.512,0.000000000000000,,,,,127.010905262236378,37.640712490072609
