gid,lbl,layer,path,ADM_DR_CD,ADM_DR_NM,OBJECTID,8_num,총인��,생산인�,유동인�,NUMPOINTS,area_sum,review_vis,review_blo,avg_sal_su,xcoord,ycoord
다사436483,"209.00",강서구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강서구_202204/강서구.shp,"1116059",화곡4동,"248","11500570",0.008,3263.074,20.248,0.000000000000000,,,,,126.862209806933322,37.532742999267185
다사391528,"42.00",강서구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강서구_202204/강서구.shp,"1116070",방화1동,"256","11500630",0.001,773.807,5.325,1.000000000000000,30.000000,20.000000,0.000000,557333.333000,126.811077746416871,37.573116442642323
다사391528,"42.00",강서구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강서구_202204/강서구.shp,"1116071",방화2동,"257","11500640",0.002,1238.272,21.490,0.000000000000000,,,,,126.810654422524081,37.572865267293643
다사400518,"597.00",강서구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강서구_202204/강서구.shp,"1116070",방화1동,"256","11500630",0.012,9285.679,63.900,0.000000000000000,,,,,126.821180189110763,37.564061278995247
다사402503,"650.00",강서구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강서구_202204/강서구.shp,"1116067",발산1동,"254","11500611",0.016,13553.092,110.512,0.000000000000000,,,,,126.823566890276041,37.550554854152395
다사415510,"386.00",강서구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강서구_202204/강서구.shp,"1116067",발산1동,"254","11500611",0.009,7623.614,62.163,0.000000000000000,,,,,126.837736804065671,37.556962643859165
다사415510,"386.00",강서구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강서구_202204/강서구.shp,"1116074",우장산동,"260","11500615",0.008,6175.486,24.160,0.000000000000000,,,,,126.838302181405069,37.556945006708688
다사429485,"520.00",강서구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강서구_202204/강서구.shp,"1116057",화곡2동,"246","11500550",0.022,6907.272,18.766,0.000000000000000,,,,,126.854271863161557,37.534502554637101
다사408495,"634.00",강서구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강서구_202204/강서구.shp,"1115061",신월5동,"231","11470600",0.032,6350.764,52.416,0.000000000000000,,,,,126.829931603389142,37.543088177173061
다사408495,"634.00",강서구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강서구_202204/강서구.shp,"1116058",화곡3동,"247","11500560",0.026,12395.207,37.440,0.000000000000000,,,,,126.830449417164075,37.543398671664903
