gid,lbl,layer,path,ADM_DR_CD,ADM_DR_NM,OBJECTID,8_num,총인��,생산인�,유동인�,NUMPOINTS,area_sum,review_vis,review_blo,avg_sal_su,xcoord,ycoord
다사482403,"217.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1118060",시흥4동,"285","11545700",0.009,2551.144,5.904,0.000000000000000,,,,,126.914294088037366,37.461293497467459
다사482403,"217.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1121071",난향동,"332","11620715",0.014,3473.879,38.206,0.000000000000000,,,,,126.914838751503936,37.460904151837909
다사491437,"542.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1120070",신대방2동,"316","11590680",0.019,11495.541,60.648,0.000000000000000,,,,,126.924770482908599,37.491605679069664
다사491437,"542.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1121052",보라매동,"320","11620525",0.017,6674.336,24.446,0.000000000000000,,,,,126.925321360961050,37.491254545820816
다사511420,"123.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1121080",청룡동,"337","11620595",0.003,2776.158,11.946,0.000000000000000,,,,,126.947512306891227,37.476387524891912
다사528418,"294.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1121062",인헌동,"325","11620625",0.010,5993.036,19.910,0.000000000000000,,,,,126.966751137370650,37.474673198188803
다사489435,"132.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1120070",신대방2동,"316","11590680",0.005,3025.142,15.960,0.000000000000000,,,,,126.922800591219257,37.490152557353483
다사489435,"132.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1121069",신림동,"331","11620695",0.005,3651.186,18.720,0.000000000000000,,,,,126.922495358422907,37.489745329951091
다사487402,"393.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1121071",난향동,"332","11620715",0.025,6203.356,68.225,0.000000000000000,,,,,126.920495087493094,37.460033634552040
다사504430,"308.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1121078",은천동,"335","11620605",0.008,5531.324,27.824,0.000000000000000,,,,,126.939528414628043,37.485363505748417
다사483424,"226.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1121083",미성동,"340","11620765",0.006,3005.355,12.162,0.000000000000000,,,,,126.915818040143265,37.479840503706363
다사539416,"374.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1121063",남현동,"326","11620630",0.018,10154.216,83.448,0.000000000000000,,,,,126.979203758473517,37.472926019474883
다사503415,"336.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1121066",서림동,"329","11620665",0.012,4704.212,24.024,0.000000000000000,,,,,126.938498512955860,37.471838236521243
다사519431,"81.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1121054",청림동,"321","11620545",0.004,1010.600,4.524,0.000000000000000,,,,,126.956999754840794,37.486443863892447
다사519431,"81.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1121057",행운동,"322","11620575",0.003,1661.438,7.716,0.000000000000000,,,,,126.956855473337725,37.486092364332563
다사519431,"81.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1121079",성현동,"336","11620565",0.002,1070.019,2.710,0.000000000000000,,,,,126.956401021477475,37.486395658423376
다사518428,"329.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1121057",행운동,"322","11620575",0.010,5538.126,25.720,0.000000000000000,,,,,126.955392090314305,37.483623632605507
다사518428,"329.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1121061",중앙동,"324","11620615",0.016,5963.907,31.744,0.000000000000000,,,,,126.954884502958862,37.483992219516466
다사523420,"277.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1121058",낙성대동,"323","11620585",0.012,6648.386,38.988,0.000000000000000,,,,,126.961073951815621,37.476453749868384
다사523420,"277.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1121062",인헌동,"325","11620625",0.009,5393.732,17.919,0.000000000000000,,,,,126.961610046308977,37.476256904124199
다사536417,"353.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1121063",남현동,"326","11620630",0.017,9590.093,78.812,0.000000000000000,,,,,126.975804783725152,37.473812350170242
다사495420,"615.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1121065",신원동,"328","11620655",0.027,10762.544,18.252,0.000000000000000,,,,,126.929417305315710,37.476301527747651
다사489428,"184.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1121065",신원동,"328","11620655",0.008,3188.902,5.408,0.000000000000000,,,,,126.922642666241629,37.483157559448507
