gid,lbl,layer,path,ADM_DR_CD,ADM_DR_NM,OBJECTID,8_num,총인��,생산인�,유동인�,NUMPOINTS,area_sum,review_vis,review_blo,avg_sal_su,xcoord,ycoord
다사469426,"37.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1117054",구로3동,"263","11530540",0.001,992.494,4.557,0.000000000000000,,,,,126.899893783463583,37.481609936871081
다사469426,"37.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1121072",조원동,"333","11620725",0.002,1339.289,4.644,0.000000000000000,,,,,126.900362613223734,37.481325562002667
다사428439,"537.00",구로구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 구로구_202204/구로구.shp,"1117064",개봉2동,"268","11530750",0.015,7984.868,42.495,0.000000000000000,,,,,126.853497812280025,37.493036238368937
다사462434,"775.00",구로구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 구로구_202204/구로구.shp,"1117054",구로3동,"263","11530540",0.026,25804.848,118.482,0.000000000000000,,,,,126.891994370383173,37.488733866343011
다사436443,"344.00",구로구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 구로구_202204/구로구.shp,"1117061",고척1동,"266","11530720",0.011,5806.662,56.958,0.000000000000000,,,,,126.862507169071890,37.496789361823566
다사436443,"344.00",구로구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 구로구_202204/구로구.shp,"1117072",개봉1동,"274","11530740",0.007,4825.659,24.423,0.000000000000000,,,,,126.862549805427292,37.496340811753427
다사430451,"433.00",구로구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 구로구_202204/구로구.shp,"1117062",고척2동,"267","11530730",0.013,5334.382,29.588,0.000000000000000,,,,,126.855667227694880,37.503864314732482
다사456453,"10.00",구로구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 구로구_202204/구로구.shp,"1117051",신도림동,"261","11530510",0.000,0.000,0.000,0.000000000000000,,,,,126.885067275378688,37.505823730008707
다사447445,"159.00",구로구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 구로구_202204/구로구.shp,"1117052",구로1동,"262","11530520",0.008,3252.051,20.048,0.000000000000000,,,,,126.875009581314998,37.498480195606660
다사447445,"159.00",구로구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 구로구_202204/구로구.shp,"1117071",구로2동,"273","11530530",0.005,4013.102,34.200,0.000000000000000,,,,,126.874699232749805,37.498863015558705
