gid,lbl,layer,path,ADM_DR_CD,ADM_DR_NM,OBJECTID,8_num,총인��,생산인�,유동인�,NUMPOINTS,area_sum,review_vis,review_blo,avg_sal_su,xcoord,ycoord
다사478425,"11.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1118054",독산3동,"280","11545630",0.000,0.000,0.000,0.000000000000000,,,,,126.909730669703094,37.480484121687560
다사478425,"11.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1121072",조원동,"333","11620725",0.001,669.644,2.322,0.000000000000000,,,,,126.909958884111191,37.481041240774040
다사478425,"11.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1121083",미성동,"340","11620765",0.000,0.000,0.000,1.000000000000000,79.350000,35.000000,4.000000,343666.667000,126.910288464353158,37.480669154535256
다사477423,"784.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1118054",독산3동,"280","11545630",0.027,14285.272,47.304,0.000000000000000,,,,,126.908682632620653,37.478817514516237
다사477423,"784.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1121083",미성동,"340","11620765",0.022,11019.634,44.594,0.000000000000000,,,,,126.909209291013894,37.478947364436763
다사477424,"295.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1118054",독산3동,"280","11545630",0.010,5290.841,17.520,1.000000000000000,33.000000,209.000000,36.000000,232000.000000,126.908806366750738,37.479896670870573
다사477424,"295.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1121083",미성동,"340","11620765",0.008,4007.139,16.216,0.000000000000000,,,,,126.909270555605204,37.479711800350728
다사453430,"14.00",구로구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 구로구_202204/구로구.shp,"1117070",가리봉동,"272","11530595",0.001,271.410,0.827,0.000000000000000,,,,,126.882078919397557,37.485329882056710
다사453430,"14.00",구로구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 구로구_202204/구로구.shp,"1118051",가산동,"277","11545510",0.000,0.000,0.000,0.000000000000000,,,,,126.881749575948135,37.484973548327609
다사455428,"11.00",구로구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 구로구_202204/구로구.shp,"1117070",가리봉동,"272","11530595",0.001,271.410,0.827,0.000000000000000,,,,,126.884506725509922,37.483614927283831
다사455428,"11.00",구로구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 구로구_202204/구로구.shp,"1118051",가산동,"277","11545510",0.000,0.000,0.000,0.000000000000000,,,,,126.884080048447487,37.483249947818301
다사463423,"71.00",구로구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 구로구_202204/구로구.shp,"1117070",가리봉동,"272","11530595",0.005,1357.048,4.135,0.000000000000000,,,,,126.893244211005495,37.479041378532273
다사463423,"71.00",구로구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 구로구_202204/구로구.shp,"1118051",가산동,"277","11545510",0.002,2883.495,21.994,0.000000000000000,,,,,126.893165097844658,37.478597519084950
다사471417,"374.00",금천구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 금천구_202204/금천구.shp,"1118054",독산3동,"280","11545630",0.013,6878.094,22.776,0.000000000000000,,,,,126.902296484654855,37.473463372542625
다사469415,"186.00",금천구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 금천구_202204/금천구.shp,"1118054",독산3동,"280","11545630",0.006,3174.505,10.512,2.000000000000000,82.070000,204.000000,3.000000,464000.000000,126.900056341583053,37.471661963032183
다사469415,"186.00",금천구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 금천구_202204/금천구.shp,"1118055",독산4동,"281","11545640",0.010,2749.023,12.580,0.000000000000000,,,,,126.899803710091362,37.471217794731203
다사456427,"41.00",금천구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 금천구_202204/금천구.shp,"1117070",가리봉동,"272","11530595",0.003,814.229,2.481,0.000000000000000,,,,,126.885711017775179,37.482766723457878
다사456427,"41.00",금천구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 금천구_202204/금천구.shp,"1118051",가산동,"277","11545510",0.001,1441.747,10.997,0.000000000000000,,,,,126.885241995291594,37.482375000686964
다사470387,"478.00",금천구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 금천구_202204/금천구.shp,"1118057",시흥1동,"282","11545670",0.012,7890.499,62.880,0.000000000000000,,,,,126.901381191083814,37.446417942864393
