gid,lbl,layer,path,ADM_DR_CD,ADM_DR_NM,OBJECTID,8_num,총인��,생산인�,유동인�,NUMPOINTS,area_sum,review_vis,review_blo,avg_sal_su,xcoord,ycoord
다사613614,"261.00",노원구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 노원구_202204/노원구.shp,"1111077",상계6·7동,"174","11350695",0.007,7936.929,36.722,0.000000000000000,,,,,127.061846688246476,37.651728727094493
다사615630,"428.00",노원구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 노원구_202204/노원구.shp,"1111073",상계9동,"171","11350710",0.016,7153.301,52.704,1.000000000000000,50.000000,337.000000,2.000000,436000.000000,127.064029593463459,37.666158185200302
다사620589,"501.00",노원구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 노원구_202204/노원구.shp,"1111079",공릉1동,"176","11350595",0.012,12271.364,69.780,0.000000000000000,,,,,127.069911908665844,37.629224941091501
다사621590,"182.00",노원구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 노원구_202204/노원구.shp,"1111079",공릉1동,"176","11350595",0.004,4090.455,23.260,0.000000000000000,,,,,127.071040001073257,37.630130388033130
다사628587,"155.00",노원구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 노원구_202204/노원구.shp,"1111056",공릉2동,"161","11350600",0.003,3079.976,18.516,0.000000000000000,,,,,127.078988265924991,37.627454994641333
다사630609,"1206.00",노원구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 노원구_202204/노원구.shp,"1111060",중계본동,"164","11350619",0.048,23664.997,77.520,0.000000000000000,,,,,127.081143459733354,37.647292133030341
다사616630,"1337.00",노원구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 노원구_202204/노원구.shp,"1111073",상계9동,"171","11350710",0.049,21906.985,161.406,0.000000000000000,,,,,127.065163426684833,37.666162370609811
다사617610,"457.00",노원구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 노원구_202204/노원구.shp,"1111078",중계2·3동,"175","11350625",0.012,9567.540,41.220,0.000000000000000,,,,,127.066402105046933,37.648140210501460
다사632606,"665.00",노원구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 노원구_202204/노원구.shp,"1111060",중계본동,"164","11350619",0.026,12818.540,41.990,0.000000000000000,,,,,127.083425659395303,37.644596199205793
다사629585,"156.00",노원구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 노원구_202204/노원구.shp,"1111056",공릉2동,"161","11350600",0.003,3079.976,18.516,0.000000000000000,,,,,127.080131653400358,37.625656386680568
다사605646,"466.00",노원구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 노원구_202204/노원구.shp,"1111065",상계1동,"167","11350630",0.011,9700.739,43.780,1.000000000000000,40.280000,1357.000000,15.000000,447333.333000,127.052604697811731,37.680536733152699
다사625596,"26.00",노원구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 노원구_202204/노원구.shp,"1111058",하계1동,"162","11350611",0.001,611.394,3.320,0.000000000000000,,,,,127.075542390626708,37.635554710748131
다사627578,"225.00",노원구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 노원구_202204/노원구.shp,"1111079",공릉1동,"176","11350595",0.005,5113.068,29.075,0.000000000000000,,,,,127.077900889045310,37.619339036313491
다사625590,"27.00",노원구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 노원구_202204/노원구.shp,"1111056",공릉2동,"161","11350600",0.001,1026.659,6.172,0.000000000000000,,,,,127.075568172119006,37.630141863352392
다사628637,"294.00",노원구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 노원구_202204/노원구.shp,"1111076",상계3·4동,"173","11350665",0.011,5357.751,42.108,0.000000000000000,,,,,127.078733781477993,37.672520959665711
다사608626,"222.00",노원구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 노원구_202204/노원구.shp,"1111072",상계8동,"170","11350700",0.008,3382.171,20.752,0.000000000000000,,,,,127.056114237494896,37.662523324594630
다사606636,"634.00",노원구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 노원구_202204/노원구.shp,"1111065",상계1동,"167","11350630",0.015,13228.280,59.700,2.000000000000000,74.300000,368.000000,6.000000,894666.666000,127.053792728447561,37.671527906624583
다사608612,"629.00",노원구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 노원구_202204/노원구.shp,"1111077",상계6·7동,"174","11350695",0.018,20409.246,94.428,0.000000000000000,,,,,127.056189352254449,37.649904905590958
다사623628,"420.00",노원구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 노원구_202204/노원구.shp,"1111069",상계5동,"169","11350670",0.014,6131.665,34.818,0.000000000000000,,,,,127.073110589945216,37.664388730745166
다사608624,"293.00",노원구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 노원구_202204/노원구.shp,"1111074",상계10동,"172","11350720",0.012,3846.387,28.476,0.000000000000000,,,,,127.056124971044085,37.660720694973037
다사617615,"271.00",노원구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 노원구_202204/노원구.shp,"1111077",상계6·7동,"174","11350695",0.008,9070.776,41.968,0.000000000000000,,,,,127.066375902579793,37.652646799357129
다사600588,"32.00",노원구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 노원구_202204/노원구.shp,"1111052",월계2동,"159","11350570",0.001,457.842,2.219,0.000000000000000,,,,,127.047251969769135,37.628238827746230
다사619586,"346.00",노원구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 노원구_202204/노원구.shp,"1111079",공릉1동,"176","11350595",0.008,8180.909,46.520,1.000000000000000,150.000000,141.000000,52.000000,555333.333000,127.068794257978027,37.626516840242793
다사617619,"146.00",노원구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 노원구_202204/노원구.shp,"1111066",상계2동,"168","11350640",0.005,3569.459,15.770,1.000000000000000,55.600000,30.000000,6.000000,455666.667000,127.066354936402263,37.656252067945310
다사611580,"218.00",노원구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 노원구_202204/노원구.shp,"1111051",월계1동,"158","11350560",0.008,4179.022,24.240,0.000000000000000,,,,,127.059760308493836,37.621075434733918
다사612598,"511.00",노원구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 노원구_202204/노원구.shp,"1111059",하계2동,"163","11350612",0.018,6449.255,56.430,0.000000000000000,,,,,127.060736685910086,37.637271858209893
다사612598,"511.00",노원구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 노원구_202204/노원구.shp,"1111078",중계2·3동,"175","11350625",0.013,10364.835,44.655,0.000000000000000,,,,,127.061239957189102,37.637530971092104
다사625610,"1049.00",노원구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 노원구_202204/노원구.shp,"1111061",중계1동,"165","11350621",0.034,21066.041,59.262,0.000000000000000,,,,,127.075470588438279,37.648173192910669
