gid,lbl,layer,path,ADM_DR_CD,ADM_DR_NM,OBJECTID,8_num,총인��,생산인�,유동인�,NUMPOINTS,area_sum,review_vis,review_blo,avg_sal_su,xcoord,ycoord
다사571613,"30.00",강북구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강북구_202204/강북구.shp,"1109074",우이동,"142","11305645",0.001,464.397,2.946,0.000000000000000,,,,,127.013975609887481,37.650301997964441
다사571613,"30.00",강북구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강북구_202204/강북구.shp,"1110051",쌍문1동,"144","11320660",0.001,408.802,1.300,0.000000000000000,,,,,127.014284267758370,37.650696211555655
다사570619,"109.00",강북구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강북구_202204/강북구.shp,"1109074",우이동,"142","11305645",0.004,1857.589,11.784,1.000000000000000,10.000000,3.000000,0.000000,839000.000000,127.012905956057693,37.656063877700014
다사570619,"109.00",강북구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강북구_202204/강북구.shp,"1110051",쌍문1동,"144","11320660",0.004,1635.210,5.200,1.000000000000000,43.440000,20.000000,14.000000,204666.667000,127.013464891927455,37.655997544595451
다사570618,"55.00",강북구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강북구_202204/강북구.shp,"1109074",우이동,"142","11305645",0.002,928.795,5.892,0.000000000000000,,,,,127.012803582778247,37.655168348189989
다사570618,"55.00",강북구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강북구_202204/강북구.shp,"1110051",쌍문1동,"144","11320660",0.002,817.605,2.600,0.000000000000000,,,,,127.013364550694646,37.655116220886399
다사575611,"86.00",강북구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강북구_202204/강북구.shp,"1109064",수유2동,"135","11305625",0.003,,2.844,0.000000000000000,,,,,127.018851535879008,37.648581810496168
다사575611,"86.00",강북구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강북구_202204/강북구.shp,"1110051",쌍문1동,"144","11320660",0.003,1226.407,3.900,0.000000000000000,,,,,127.018748274943263,37.649022044532792
다사578610,"249.00",강북구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강북구_202204/강북구.shp,"1109064",수유2동,"135","11305625",0.010,,9.480,0.000000000000000,,,,,127.022083488735049,37.647873806805123
다사578610,"249.00",강북구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강북구_202204/강북구.shp,"1110051",쌍문1동,"144","11320660",0.009,3679.222,11.700,0.000000000000000,,,,,127.022456748013141,37.648198373259042
