gid,lbl,layer,path,ADM_DR_CD,ADM_DR_NM,OBJECTID,8_num,총인��,생산인�,유동인�,NUMPOINTS,area_sum,review_vis,review_blo,avg_sal_su,xcoord,ycoord
다사609556,"315.00",동대문구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 동대문구_202204/동대문구.shp,"1106089",이문1동,"92","11230740",0.013,7112.354,29.614,0.000000000000000,,,,,127.057622161852194,37.599435209250487
다사624528,"1182.00",동대문구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 동대문구_202204/동대문구.shp,"1106088",장안2동,"91","11230660",0.028,18329.993,113.316,0.000000000000000,,,,,127.074758067646897,37.574260479913455
다사625528,"1393.00",동대문구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 동대문구_202204/동대문구.shp,"1106088",장안2동,"91","11230660",0.033,21603.206,133.551,0.000000000000000,,,,,127.075890507708195,37.574264553778129
다사616520,"229.00",동대문구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 동대문구_202204/동대문구.shp,"1106087",장안1동,"90","11230650",0.005,4153.294,20.845,0.000000000000000,,,,,127.065740423549443,37.567016858692384
다사615519,"531.00",동대문구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 동대문구_202204/동대문구.shp,"1106087",장안1동,"90","11230650",0.012,9967.906,50.028,1.000000000000000,39.000000,157.000000,31.000000,501333.333000,127.064613340836132,37.566111357748007
다사612519,"351.00",동대문구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 동대문구_202204/동대문구.shp,"1106086",답십리2동,"89","11230610",0.010,5252.973,18.070,0.000000000000000,,,,,127.061118614258191,37.566152416660273
다사612519,"351.00",동대문구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 동대문구_202204/동대문구.shp,"1106087",장안1동,"90","11230650",0.008,6645.271,33.352,0.000000000000000,,,,,127.061591200675238,37.565893195061790
다사613561,"235.00",동대문구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 동대문구_202204/동대문구.shp,"1106090",이문2동,"93","11230750",0.010,3545.140,16.670,0.000000000000000,,,,,127.062127026232758,37.603958730179791
다사587531,"276.00",동대문구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 동대문구_202204/동대문구.shp,"1106081",용신동,"85","11230536",0.008,7868.441,61.872,2.000000000000000,84.450000,151.000000,12.000000,858000.000000,127.032841059215059,37.576806085698927
다사609543,"477.00",동대문구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 동대문구_202204/동대문구.shp,"1106073",휘경2동,"83","11230730",0.017,8142.155,51.017,0.000000000000000,,,,,127.057691518019894,37.587717978806083
