gid,lbl,layer,path,ADM_DR_CD,ADM_DR_NM,OBJECTID,8_num,총인��,생산인�,유동인�,NUMPOINTS,area_sum,review_vis,review_blo,avg_sal_su,xcoord,ycoord
다사491437,"542.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1120070",신대방2동,"316","11590680",0.019,11495.541,60.648,0.000000000000000,,,,,126.924770482908599,37.491605679069664
다사491437,"542.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1121052",보라매동,"320","11620525",0.017,6674.336,24.446,0.000000000000000,,,,,126.925321360961050,37.491254545820816
다사496440,"40.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1120055",상도3동,"308","11590550",0.001,438.025,1.826,0.000000000000000,,,,,126.930426899622617,37.494348884029243
다사535420,"28.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1120063",사당1동,"310","11590620",0.001,620.534,3.176,0.000000000000000,,,,,126.974638634935999,37.476598936641615
다사535420,"28.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1121063",남현동,"326","11620630",0.001,564.123,4.636,1.000000000000000,36.000000,145.000000,7.000000,715000.000000,126.974721691711082,37.476152932508363
다사536420,"29.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1120063",사당1동,"310","11590620",0.001,620.534,3.176,0.000000000000000,,,,,126.975767629949573,37.476660701689070
다사536420,"29.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1121063",남현동,"326","11620630",0.001,564.123,4.636,1.000000000000000,12.000000,206.000000,1.000000,715000.000000,126.975824295138352,37.476212919905677
다사518436,"285.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1120053",상도1동,"306","11590530",0.005,5179.980,25.660,0.000000000000000,,,,,126.954898800322070,37.491168920318245
다사518436,"285.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1121079",성현동,"336","11620565",0.008,4280.077,10.840,0.000000000000000,,,,,126.955360174908606,37.490818192106168
다사492438,"217.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1120070",신대방2동,"316","11590680",0.008,4840.228,25.536,0.000000000000000,,,,,126.925509858903709,37.492478850191077
다사492438,"217.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1121052",보라매동,"320","11620525",0.007,2748.256,10.066,0.000000000000000,,,,,126.926053195732237,37.492520689753135
다사521438,"583.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1120053",상도1동,"306","11590530",0.011,11395.957,56.452,0.000000000000000,,,,,126.958399971337798,37.492881687465712
다사521438,"583.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1121054",청림동,"321","11620545",0.028,7074.201,31.668,0.000000000000000,,,,,126.958810895238429,37.492587827587855
다사495440,"142.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1120055",상도3동,"308","11590550",0.004,1752.098,7.304,0.000000000000000,,,,,126.929768078022377,37.494534313768852
다사495440,"142.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1120070",신대방2동,"316","11590680",0.005,3025.142,15.960,0.000000000000000,,,,,126.929360873889578,37.494515523539896
다사495440,"142.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1121052",보라매동,"320","11620525",0.004,1570.432,5.752,0.000000000000000,,,,,126.929143440461431,37.494156311894272
다사524432,"221.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1120067",사당5동,"313","11590651",0.010,2591.429,8.520,0.000000000000000,,,,,126.962244691484614,37.487280086074584
다사524432,"221.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1121054",청림동,"321","11620545",0.011,2779.150,12.441,0.000000000000000,,,,,126.961684981908064,37.487234477945400
다사532419,"30.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1120063",사당1동,"310","11590620",0.001,620.534,3.176,0.000000000000000,,,,,126.971216857423855,37.475793328714133
다사532419,"30.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1121063",남현동,"326","11620630",0.001,564.123,4.636,0.000000000000000,,,,,126.971330570101898,37.475355984315009
다사533419,"250.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1120063",사당1동,"310","11590620",0.009,5584.803,28.584,0.000000000000000,,,,,126.972302829510284,37.475921682016590
다사533419,"250.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1121063",남현동,"326","11620630",0.012,6769.477,55.632,0.000000000000000,,,,,126.972433871391516,37.475485028588217
다사524431,"211.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1120067",사당5동,"313","11590651",0.009,2332.287,7.668,0.000000000000000,,,,,126.962245915765138,37.486356161107722
다사524431,"211.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1121054",청림동,"321","11620545",0.010,2526.500,11.310,0.000000000000000,,,,,126.961688741381337,37.486431352031623
다사531420,"76.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1120063",사당1동,"310","11590620",0.003,1861.601,9.528,0.000000000000000,,,,,126.970497692139617,37.476474686683531
다사531420,"76.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1120066",사당4동,"312","11590650",0.004,1128.700,2.476,0.000000000000000,,,,,126.969953488546466,37.476738921381553
다사531420,"76.00",관악구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 관악구_202204/관악구.shp,"1121057",행운동,"322","11620575",0.002,1107.625,5.144,0.000000000000000,,,,,126.969926360984729,37.476277382963595
다사495448,"461.00",동작구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 동작구_202204/동작구.shp,"1120055",상도3동,"308","11590550",0.014,6132.344,25.564,0.000000000000000,,,,,126.929274830697054,37.501534702505957
다사495448,"461.00",동작구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 동작구_202204/동작구.shp,"1120068",대방동,"314","11590660",0.010,9754.262,48.680,0.000000000000000,,,,,126.928711004613916,37.501578928063424
다사491437,"565.00",동작구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 동작구_202204/동작구.shp,"1120070",신대방2동,"316","11590680",0.020,12100.569,63.840,0.000000000000000,,,,,126.924770482908599,37.491605679069664
다사491437,"565.00",동작구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 동작구_202204/동작구.shp,"1121052",보라매동,"320","11620525",0.017,6674.336,24.446,0.000000000000000,,,,,126.925321360961050,37.491254545820816
다사509461,"65.00",동작구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 동작구_202204/동작구.shp,"1120072",노량진1동,"318","11590510",0.002,1710.019,17.280,1.000000000000000,42.350000,290.000000,18.000000,469000.000000,126.944977013042831,37.513331254933163
다사488442,"177.00",동작구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 동작구_202204/동작구.shp,"1120070",신대방2동,"316","11590680",0.006,3630.171,19.152,0.000000000000000,,,,,126.921347841039207,37.496092132244115
다사527426,"107.00",동작구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 동작구_202204/동작구.shp,"1120067",사당5동,"313","11590651",0.005,1295.715,4.260,0.000000000000000,,,,,126.965568870377908,37.481878734356307
다사476431,"263.00",동작구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 동작구_202204/동작구.shp,"1120069",신대방1동,"315","11590670",0.010,4011.582,17.380,0.000000000000000,,,,,126.907851355532841,37.486110341451059
