gid,lbl,layer,path,ADM_DR_CD,ADM_DR_NM,OBJECTID,8_num,총인��,생산인�,유동인�,NUMPOINTS,area_sum,review_vis,review_blo,avg_sal_su,xcoord,ycoord
다사519498,"385.00",마포구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 마포구_202204/마포구.shp,"1114077",공덕동,"221","11440565",0.009,8461.118,34.227,0.000000000000000,,,,,126.956049864458549,37.546732772767079
다사524504,"101.00",마포구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 마포구_202204/마포구.shp,"1114077",공덕동,"221","11440565",0.002,1880.248,7.606,1.000000000000000,21.650000,10.000000,0.000000,412000.000000,126.961670992451062,37.552166626350470
다사469507,"359.00",마포구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 마포구_202204/마포구.shp,"1114069",망원1동,"213","11440690",0.016,7823.613,45.296,0.000000000000000,,,,,126.899384976108166,37.554570253032900
다사489506,"75.00",마포구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 마포구_202204/마포구.shp,"1114066",서교동,"211","11440660",0.002,3564.068,21.862,1.000000000000000,20.000000,3.000000,1.000000,474000.000000,126.922034217170719,37.553781950253274
다사462532,"288.00",마포구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 마포구_202204/마포구.shp,"1114074",상암동,"218","11440740",0.009,10284.748,107.415,2.000000000000000,66.000000,150.000000,25.000000,1424000.000000,126.891276876382662,37.577062314328806
다사482509,"242.00",마포구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 마포구_202204/마포구.shp,"1114066",서교동,"211","11440660",0.008,14256.271,87.448,0.000000000000000,,,,,126.914088330138085,37.556446824992022
다사472529,"232.00",마포구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 마포구_202204/마포구.shp,"1114073",성산2동,"217","11440730",0.006,5123.763,39.420,0.000000000000000,,,,,126.902622989485693,37.574416250539585
다사484509,"83.00",마포구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 마포구_202204/마포구.shp,"1114066",서교동,"211","11440660",0.003,5346.102,32.793,1.000000000000000,48.000000,160.000000,40.000000,474000.000000,126.916352615225321,37.556458039845154
다사482506,"286.00",마포구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 마포구_202204/마포구.shp,"1114066",서교동,"211","11440660",0.009,16038.305,98.379,0.000000000000000,,,,,126.914109500201462,37.553742892020765
다사518498,"233.00",마포구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 마포구_202204/마포구.shp,"1114077",공덕동,"221","11440565",0.005,4700.621,19.015,1.000000000000000,24.750000,6.000000,31.000000,412000.000000,126.954917861106750,37.546727552556270
다사469510,"767.00",마포구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 마포구_202204/마포구.shp,"1114070",망원2동,"214","11440700",0.035,14014.417,91.595,0.000000000000000,,,,,126.899363273373041,37.557274178409642
다사501497,"254.00",마포구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 마포구_202204/마포구.shp,"1114063",신수동,"210","11440630",0.010,4282.436,21.140,0.000000000000000,,,,,126.935680643973626,37.545735832939805
다사519500,"66.00",마포구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 마포구_202204/마포구.shp,"1114077",공덕동,"221","11440565",0.002,1880.248,7.606,0.000000000000000,,,,,126.956036764947115,37.548535410077939
다사480518,"97.00",마포구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 마포구_202204/마포구.shp,"1114072",성산1동,"216","11440720",0.004,2090.645,8.108,0.000000000000000,,,,,126.911760273670822,37.564547354844635
다사503497,"458.00",마포구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 마포구_202204/마포구.shp,"1114063",신수동,"210","11440630",0.018,7708.386,38.052,0.000000000000000,,,,,126.937944613618185,37.545746631107249
다사507498,"133.00",마포구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 마포구_202204/마포구.shp,"1114059",용강동,"207","11440590",0.005,3784.156,15.270,0.000000000000000,,,,,126.941936721755809,37.546227726239181
다사507498,"133.00",마포구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 마포구_202204/마포구.shp,"1114060",대흥동,"208","11440600",0.006,3190.855,19.464,3.000000000000000,102.900000,800.000000,21.000000,1263000.000000,126.942466745888979,37.546670167180118
