gid,lbl,layer,path,ADM_DR_CD,ADM_DR_NM,OBJECTID,8_num,총인��,생산인�,유동인�,NUMPOINTS,area_sum,review_vis,review_blo,avg_sal_su,xcoord,ycoord
다사506509,"90.00",마포구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 마포구_202204/마포구.shp,"1113075",신촌동,"205","11410585",0.003,3921.240,30.279,0.000000000000000,,,,,126.941223930836330,37.556764529088866
다사506509,"90.00",마포구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 마포구_202204/마포구.shp,"1114060",대흥동,"208","11440600",0.004,2127.236,12.976,0.000000000000000,,,,,126.941309389804843,37.556321805295973
다사493518,"88.00",마포구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 마포구_202204/마포구.shp,"1113076",연희동,"206","11410615",0.002,1719.405,10.234,0.000000000000000,,,,,126.926717154688319,37.564814579338098
다사493518,"88.00",마포구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 마포구_202204/마포구.shp,"1114071",연남동,"215","11440710",0.004,1805.796,5.128,0.000000000000000,,,,,126.926339788815298,37.564504952033893
다사494516,"163.00",마포구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 마포구_202204/마포구.shp,"1113076",연희동,"206","11410615",0.004,3438.810,20.468,0.000000000000000,,,,,126.928061154990189,37.562579045349267
다사494516,"163.00",마포구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 마포구_202204/마포구.shp,"1114071",연남동,"215","11440710",0.008,3611.591,10.256,2.000000000000000,49.000000,31.000000,52.000000,1032000.000000,126.927568036819594,37.562854969693511
다사497510,"10.00",마포구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 마포구_202204/마포구.shp,"1113075",신촌동,"205","11410585",0.000,0.000,0.000,0.000000000000000,,,,,126.931122703988962,37.557537307141871
다사497510,"10.00",마포구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 마포구_202204/마포구.shp,"1114066",서교동,"211","11440660",0.000,0.000,0.000,0.000000000000000,,,,,126.930895265471477,37.557128645646735
다사493513,"37.00",마포구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 마포구_202204/마포구.shp,"1113075",신촌동,"205","11410585",0.001,1307.080,10.093,0.000000000000000,,,,,126.926861948371013,37.560102781811189
다사493513,"37.00",마포구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 마포구_202204/마포구.shp,"1114066",서교동,"211","11440660",0.001,1782.034,10.931,0.000000000000000,,,,,126.926296475267378,37.560119758197999
