gid,lbl,layer,path,ADM_DR_CD,ADM_DR_NM,OBJECTID,8_num,총인��,생산인�,유동인�,NUMPOINTS,area_sum,review_vis,review_blo,avg_sal_su,xcoord,ycoord
다사595427,"8.00",강남구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강남구_202204/강남구.shp,"1122066",양재1동,"356","11650651",0.000,0.000,0.000,1.000000000000000,204.210000,882.000000,234.000000,695666.667000,127.042251753169182,37.483056859886275
다사595427,"8.00",강남구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강남구_202204/강남구.shp,"1123067",도곡2동,"369","11680656",0.000,0.000,0.000,0.000000000000000,,,,,127.042792126423663,37.483168997221981
다사600417,"22.00",강남구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강남구_202204/강남구.shp,"1122067",양재2동,"357","11650652",0.001,916.253,14.167,0.000000000000000,,,,,127.048082832108548,37.474042930728501
다사600417,"22.00",강남구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강남구_202204/강남구.shp,"1123071",개포4동,"371","11680690",0.001,384.580,4.171,0.000000000000000,,,,,127.048514799302268,37.474336676972754
다사601416,"64.00",강남구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강남구_202204/강남구.shp,"1122067",양재2동,"357","11650652",0.003,2748.760,42.501,0.000000000000000,,,,,127.049151222893741,37.473113105586165
다사601416,"64.00",강남구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강남구_202204/강남구.shp,"1123071",개포4동,"371","11680690",0.002,769.160,8.342,0.000000000000000,,,,,127.049583161559980,37.473372467644104
다사602415,"151.00",강남구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강남구_202204/강남구.shp,"1122067",양재2동,"357","11650652",0.006,5497.520,85.002,0.000000000000000,,,,,127.050207284808707,37.472172843670243
다사602415,"151.00",강남구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강남구_202204/강남구.shp,"1123071",개포4동,"371","11680690",0.006,2307.481,25.026,0.000000000000000,,,,,127.050642427233470,37.472425455008029
다사542434,"14.00",동작구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 동작구_202204/동작구.shp,"1120073",사당2동,"319","11590630",0.000,0.000,0.000,0.000000000000000,,,,,126.982195373543632,37.489195084508090
다사542434,"14.00",동작구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 동작구_202204/동작구.shp,"1122065",방배4동,"355","11650621",0.001,654.101,2.942,0.000000000000000,,,,,126.982753626458347,37.489136840292318
