gid,lbl,layer,path,ADM_DR_CD,ADM_DR_NM,OBJECTID,8_num,총인��,생산인�,유동인�,NUMPOINTS,area_sum,review_vis,review_blo,avg_sal_su,xcoord,ycoord
다사615494,"63.00",광진구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 광진구_202204/광진구.shp,"1104068",성수2가3동,"60","11200690",0.004,3285.982,16.488,0.000000000000000,,,,,127.064497228805124,37.543641959442439
다사615494,"63.00",광진구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 광진구_202204/광진구.shp,"1105053",화양동,"66","11215710",0.002,1860.788,11.944,0.000000000000000,,,,,127.065024255942006,37.543505705285526
다사618501,"60.00",광진구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 광진구_202204/광진구.shp,"1104069",송정동,"61","11200720",0.004,1024.622,5.708,0.000000000000000,,,,,127.067960961345179,37.549947290991810
다사618501,"60.00",광진구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 광진구_202204/광진구.shp,"1105054",군자동,"67","11215730",0.002,914.330,8.668,0.000000000000000,,,,,127.068477730650997,37.549775855537533
다사619502,"196.00",광진구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 광진구_202204/광진구.shp,"1104069",송정동,"61","11200720",0.014,3586.177,19.978,0.000000000000000,,,,,127.068818806991757,37.550983403057458
다사619502,"196.00",광진구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 광진구_202204/광진구.shp,"1105054",군자동,"67","11215730",0.008,3657.321,34.672,0.000000000000000,,,,,127.069324583662947,37.550764803664045
다사620505,"77.00",광진구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 광진구_202204/광진구.shp,"1104069",송정동,"61","11200720",0.005,1280.778,7.135,0.000000000000000,,,,,127.070109735482163,37.553574649595703
다사620505,"77.00",광진구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 광진구_202204/광진구.shp,"1105054",군자동,"67","11215730",0.003,1371.495,13.002,0.000000000000000,,,,,127.070637289188426,37.553438797902452
다사618500,"270.00",광진구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 광진구_202204/광진구.shp,"1104069",송정동,"61","11200720",0.019,4866.955,27.113,0.000000000000000,,,,,127.067728951694818,37.549129161166910
다사618500,"270.00",광진구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 광진구_202204/광진구.shp,"1105054",군자동,"67","11215730",0.011,5028.816,47.674,0.000000000000000,,,,,127.068244231173821,37.548952107027077
다사611485,"66.00",광진구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 광진구_202204/광진구.shp,"1104067",성수2가1동,"59","11200670",0.003,1434.550,8.196,0.000000000000000,,,,,127.059970162216374,37.535525182962857
다사611485,"66.00",광진구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 광진구_202204/광진구.shp,"1105067",자양4동,"80","11215847",0.003,1881.073,12.192,1.000000000000000,66.000000,151.000000,44.000000,361000.000000,127.060497549333263,37.535389009250075
다사616496,"173.00",광진구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 광진구_202204/광진구.shp,"1104068",성수2가3동,"60","11200690",0.012,9857.946,49.464,0.000000000000000,,,,,127.065570152688949,37.545461821261775
다사616496,"173.00",광진구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 광진구_202204/광진구.shp,"1105053",화양동,"66","11215710",0.006,5582.363,35.832,0.000000000000000,,,,,127.066097174691578,37.545324743474211
다사622509,"133.00",광진구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 광진구_202204/광진구.shp,"1104069",송정동,"61","11200720",0.009,2305.400,12.843,0.000000000000000,,,,,127.072258597335463,37.557220449824690
다사622509,"133.00",광진구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 광진구_202204/광진구.shp,"1105054",군자동,"67","11215730",0.006,2742.991,26.004,0.000000000000000,,,,,127.072782418304811,37.557073208496824
다사613490,"58.00",광진구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 광진구_202204/광진구.shp,"1104067",성수2가1동,"59","11200670",0.003,1434.550,8.196,0.000000000000000,,,,,127.062296588632535,37.539956006004893
다사613490,"58.00",광진구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 광진구_202204/광진구.shp,"1104068",성수2가3동,"60","11200690",0.004,3285.982,16.488,0.000000000000000,,,,,127.062646386738322,37.540335951620001
