gid,lbl,layer,path,ADM_DR_CD,ADM_DR_NM,OBJECTID,8_num,총인��,생산인�,유동인�,NUMPOINTS,area_sum,review_vis,review_blo,avg_sal_su,xcoord,ycoord
다사592572,"22.00",강북구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강북구_202204/강북구.shp,"1108076",장위1동,"123","11290760",0.001,497.381,1.901,0.000000000000000,,,,,127.038385796414630,37.613710048740650
다사592572,"22.00",강북구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강북구_202204/강북구.shp,"1109071",송중동,"139","11305545",0.001,832.033,3.652,0.000000000000000,,,,,127.037959687361521,37.613989395699896
다사590570,"16.00",강북구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강북구_202204/강북구.shp,"1108071",월곡1동,"121","11290715",0.001,596.065,2.178,0.000000000000000,,,,,127.036118260430811,37.611875223336277
다사590570,"16.00",강북구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강북구_202204/강북구.shp,"1109071",송중동,"139","11305545",0.000,0.000,0.000,0.000000000000000,,,,,127.035769261371740,37.612216583664413
다사587568,"29.00",강북구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강북구_202204/강북구.shp,"1108071",월곡1동,"121","11290715",0.001,596.065,2.178,0.000000000000000,,,,,127.032750861187978,37.610009780344733
다사587568,"29.00",강북구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강북구_202204/강북구.shp,"1109071",송중동,"139","11305545",0.001,832.033,3.652,0.000000000000000,,,,,127.032456014767362,37.610371687065090
다사593573,"21.00",강북구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강북구_202204/강북구.shp,"1108076",장위1동,"123","11290760",0.001,497.381,1.901,0.000000000000000,,,,,127.039506636957398,37.614620903955597
다사593573,"21.00",강북구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강북구_202204/강북구.shp,"1109071",송중동,"139","11305545",0.001,832.033,3.652,0.000000000000000,,,,,127.039067206617503,37.614905779331714
다사576571,"77.00",강북구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강북구_202204/강북구.shp,"1108066",길음1동,"119","11290660",0.002,1652.538,9.678,0.000000000000000,,,,,127.019994183231390,37.612705281848839
다사576571,"77.00",강북구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강북구_202204/강북구.shp,"1109073",삼각산동,"141","11305575",0.002,1027.412,5.018,0.000000000000000,,,,,127.020409497088835,37.612977353333569
다사579570,"137.00",강북구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강북구_202204/강북구.shp,"1108068",길음2동,"120","11290685",0.007,3216.079,25.291,0.000000000000000,,,,,127.023688097434956,37.611662257621198
다사579570,"137.00",강북구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강북구_202204/강북구.shp,"1109072",송천동,"140","11305555",0.004,2561.878,22.160,0.000000000000000,,,,,127.023481622253371,37.612071123044622
다사601583,"396.00",강북구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강북구_202204/강북구.shp,"1108078",장위3동,"125","11290780",0.019,3302.243,33.535,0.000000000000000,,,,,127.048659002317365,37.623468399637609
다사601583,"396.00",강북구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강북구_202204/강북구.shp,"1109062",번3동,"133","11305608",0.018,,17.784,0.000000000000000,,,,,127.048327076117644,37.623829493324322
다사580570,"40.00",강북구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강북구_202204/강북구.shp,"1108068",길음2동,"120","11290685",0.002,918.880,7.226,0.000000000000000,,,,,127.024687883607001,37.611770735331390
다사580570,"40.00",강북구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강북구_202204/강북구.shp,"1109072",송천동,"140","11305555",0.001,640.470,5.540,0.000000000000000,,,,,127.024694628848295,37.612216506612320
다사575572,"147.00",강북구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강북구_202204/강북구.shp,"1108066",길음1동,"119","11290660",0.004,3305.077,19.356,0.000000000000000,,,,,127.018926895876447,37.613517532809361
다사575572,"147.00",강북구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강북구_202204/강북구.shp,"1109073",삼각산동,"141","11305575",0.004,2054.825,10.036,0.000000000000000,,,,,127.019107523301230,37.613909393193779
다사591571,"20.00",강북구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강북구_202204/강북구.shp,"1108071",월곡1동,"121","11290715",0.001,596.065,2.178,0.000000000000000,,,,,127.037296800843379,37.612541993785754
다사591571,"20.00",강북구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강북구_202204/강북구.shp,"1108076",장위1동,"123","11290760",0.001,497.381,1.901,0.000000000000000,,,,,127.037563274188500,37.612837423548534
다사591571,"20.00",강북구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강북구_202204/강북구.shp,"1109071",송중동,"139","11305545",0.001,832.033,3.652,0.000000000000000,,,,,127.037017919433211,37.612973554914753
다사578570,"69.00",강북구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강북구_202204/강북구.shp,"1108066",길음1동,"119","11290660",0.002,1652.538,9.678,0.000000000000000,,,,,127.021975344159472,37.611850580503166
다사578570,"69.00",강북구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강북구_202204/강북구.shp,"1108068",길음2동,"120","11290685",0.003,1378.319,10.839,0.000000000000000,,,,,127.022870645707883,37.611511892194201
다사578570,"69.00",강북구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강북구_202204/강북구.shp,"1109072",송천동,"140","11305555",0.002,1280.939,11.080,0.000000000000000,,,,,127.022521090263780,37.611944732915710
다사578570,"69.00",강북구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강북구_202204/강북구.shp,"1109073",삼각산동,"141","11305575",0.002,1027.412,5.018,0.000000000000000,,,,,127.021871571151735,37.612351013301883
다사609576,"119.00",노원구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 노원구_202204/노원구.shp,"1108078",장위3동,"125","11290780",0.006,1042.814,10.590,0.000000000000000,,,,,127.057344741494276,37.617302460474221
