gid,lbl,layer,path,ADM_DR_CD,ADM_DR_NM,OBJECTID,8_num,총인��,생산인�,유동인�,NUMPOINTS,area_sum,review_vis,review_blo,avg_sal_su,xcoord,ycoord
다사666485,"68.00",강동구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강동구_202204/강동구.shp,"1124051",풍납1동,"381","11710510",0.004,1477.623,8.660,1.000000000000000,10.000000,21.000000,0.000000,441333.333000,127.122167313312730,37.535722562586621
다사666485,"68.00",강동구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강동구_202204/강동구.shp,"1125066",성내2동,"419","11740650",0.002,1179.111,11.170,0.000000000000000,,,,,127.122716974455585,37.535631375404094
다사665482,"245.00",강동구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강동구_202204/강동구.shp,"1124051",풍납1동,"381","11710510",0.015,5541.088,32.475,0.000000000000000,,,,,127.121199694122566,37.533274134685911
다사665482,"245.00",강동구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강동구_202204/강동구.shp,"1124052",풍납2동,"382","11710520",0.010,8621.872,44.670,0.000000000000000,,,,,127.121072574103337,37.532852108023306
다사665482,"245.00",강동구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강동구_202204/강동구.shp,"1125065",성내1동,"418","11740640",0.010,5669.759,21.700,0.000000000000000,,,,,127.121621365327428,37.532736138727579
다사665482,"245.00",강동구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강동구_202204/강동구.shp,"1125066",성내2동,"419","11740650",0.008,4716.446,44.680,0.000000000000000,,,,,127.121736434456551,37.533181423260437
다사658453,"666.00",송파구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 송파구_202204/송파구.shp,"1124061",송파1동,"391","11710580",0.025,18375.820,80.975,1.000000000000000,100.000000,194.000000,96.000000,502666.667000,127.113610162987598,37.506792405319736
다사677419,"433.00",송파구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 송파구_202204/송파구.shp,"1124082",위례동,"407","11710647",0.012,12298.036,61.512,1.000000000000000,68.250000,309.000000,4.000000,800333.333000,127.135256336329022,37.476214879654947
다사687447,"275.00",송파구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 송파구_202204/송파구.shp,"1124056",마천2동,"386","11710550",0.013,4650.323,25.688,0.000000000000000,,,,,127.146447089525026,37.501487083521042
다사655462,"162.00",송파구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 송파구_202204/송파구.shp,"1124058",방이2동,"388","11710562",0.006,5243.616,25.458,0.000000000000000,,,,,127.110173700658066,37.514893350547801
다사647468,"308.00",송파구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 송파구_202204/송파구.shp,"1124077",잠실6동,"402","11710710",0.017,17235.529,189.567,0.000000000000000,,,,,127.101092541892186,37.520271179665933
다사675456,"56.00",송파구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 송파구_202204/송파구.shp,"1124060",오금동,"390","11710570",0.001,872.744,4.169,0.000000000000000,,,,,127.132771574731962,37.509475795843798
다사655450,"487.00",송파구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 송파구_202204/송파구.shp,"1124061",송파1동,"391","11710580",0.018,13230.590,58.302,0.000000000000000,,,,,127.110229946102521,37.504077218871643
다사671430,"216.00",송파구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 송파구_202204/송파구.shp,"1124068",문정1동,"398","11710641",0.009,4471.662,17.253,0.000000000000000,,,,,127.128151769209140,37.486476257740129
다사671430,"216.00",송파구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 송파구_202204/송파구.shp,"1124081",장지동,"406","11710646",0.005,4105.383,21.655,0.000000000000000,,,,,127.128454018183589,37.486064180240902
다사663449,"457.00",송파구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 송파구_202204/송파구.shp,"1124062",송파2동,"392","11710590",0.020,9074.357,39.120,0.000000000000000,,,,,127.119285601890738,37.503205390872502
다사688439,"187.00",송파구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 송파구_202204/송파구.shp,"1124054",거여2동,"384","11710532",0.009,4122.807,24.660,0.000000000000000,,,,,127.147612324933149,37.494279664935888
다사661476,"509.00",송파구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 송파구_202204/송파구.shp,"1124052",풍납2동,"382","11710520",0.020,17243.743,89.340,0.000000000000000,,,,,127.116898473809826,37.527534367975704
다사633453,"424.00",송파구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 송파구_202204/송파구.shp,"1124071",잠실본동,"400","11710650",0.013,10721.097,77.909,0.000000000000000,,,,,127.085324592884007,37.506696494741043
다사668433,"379.00",송파구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 송파구_202204/송파구.shp,"1124068",문정1동,"398","11710641",0.016,7949.622,30.672,1.000000000000000,26.400000,76.000000,1.000000,396000.000000,127.125014580790790,37.488801920213518
다사656444,"350.00",송파구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 송파구_202204/송파구.shp,"1124066",가락1동,"396","11710631",0.011,6867.194,57.904,0.000000000000000,,,,,127.111389360088268,37.498672872531991
다사666460,"229.00",송파구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 송파구_202204/송파구.shp,"1124057",방이1동,"387","11710561",0.012,5097.362,18.360,0.000000000000000,,,,,127.122629810185757,37.513131085084581
다사646448,"424.00",송파구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 송파구_202204/송파구.shp,"1124063",석촌동,"393","11710600",0.012,8348.397,48.684,0.000000000000000,,,,,127.100057114523381,37.502240493668339
다사651445,"18.00",송파구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 송파구_202204/송파구.shp,"1124063",석촌동,"393","11710600",0.000,0.000,0.000,0.000000000000000,,,,,127.105582682897037,37.499875962477091
다사651445,"18.00",송파구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 송파구_202204/송파구.shp,"1124066",가락1동,"396","11710631",0.001,624.290,5.264,0.000000000000000,,,,,127.105774311791635,37.499453657825775
다사662432,"357.00",송파구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 송파구_202204/송파구.shp,"1124069",문정2동,"399","11710642",0.012,11745.777,132.912,9.000000000000000,843.520000,4415.000000,185.000000,4322999.997000,127.118232238155898,37.487878835245120
다사630448,"171.00",송파구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 송파구_202204/송파구.shp,"1124071",잠실본동,"400","11710650",0.005,4123.499,29.965,0.000000000000000,,,,,127.081955463596742,37.502177820650445
다사671436,"234.00",송파구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 송파구_202204/송파구.shp,"1124068",문정1동,"398","11710641",0.010,4968.514,19.170,0.000000000000000,,,,,127.128394652858688,37.491516689806318
다사647448,"354.00",송파구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 송파구_202204/송파구.shp,"1124063",석촌동,"393","11710600",0.010,6956.997,40.570,0.000000000000000,,,,,127.101188469552326,37.502244318635981
다사685444,"340.00",송파구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 송파구_202204/송파구.shp,"1124053",거여1동,"383","11710531",0.019,5665.533,38.893,0.000000000000000,,,,,127.144197221662921,37.498776242090557
다사638462,"753.00",송파구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 송파구_202204/송파구.shp,"1124079",잠실2동,"404","11710670",0.020,16123.298,128.640,0.000000000000000,,,,,127.090935842119450,37.514827112738622
다사638462,"753.00",송파구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 송파구_202204/송파구.shp,"1124080",잠실3동,"405","11710680",0.019,21613.957,222.224,0.000000000000000,,,,,127.091485814942089,37.515237782545171
다사639446,"658.00",송파구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 송파구_202204/송파구.shp,"1124064",삼전동,"394","11710610",0.019,13974.160,54.948,0.000000000000000,,,,,127.092147440999568,37.500410728371904
다사670439,"318.00",송파구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 송파구_202204/송파구.shp,"1124067",가락2동,"397","11710632",0.009,5612.266,37.701,0.000000000000000,,,,,127.127250017945556,37.494217172177954
다사658454,"391.00",송파구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 송파구_202204/송파구.shp,"1124061",송파1동,"391","11710580",0.015,11025.492,48.585,0.000000000000000,,,,,127.113605517198039,37.507693750332997
다사660462,"275.00",송파구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 송파구_202204/송파구.shp,"1124058",방이2동,"388","11710562",0.010,8739.361,42.430,0.000000000000000,,,,,127.115831439648844,37.514911887864770
다사660457,"551.00",송파구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 송파구_202204/송파구.shp,"1124058",방이2동,"388","11710562",0.020,17478.722,84.860,0.000000000000000,,,,,127.115854538739598,37.510405165755245
다사654453,"9.00",송파구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 송파구_202204/송파구.shp,"1124061",송파1동,"391","11710580",0.000,0.000,0.000,0.000000000000000,,,,,127.109084462833891,37.506777514765261
다사639447,"162.00",송파구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 송파구_202204/송파구.shp,"1124064",삼전동,"394","11710610",0.005,3677.411,14.460,0.000000000000000,,,,,127.092142538284406,37.501312072014841
다사680417,"413.00",송파구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 송파구_202204/송파구.shp,"1124082",위례동,"407","11710647",0.011,11273.199,56.386,0.000000000000000,,,,,127.138662270518225,37.474496667587893
다사634460,"343.00",송파구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 송파구_202204/송파구.shp,"1124079",잠실2동,"404","11710670",0.009,7255.484,57.888,0.000000000000000,,,,,127.086421202630447,37.513009852556849
다사641447,"549.00",송파구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 송파구_202204/송파구.shp,"1124064",삼전동,"394","11710610",0.016,11767.714,46.272,0.000000000000000,,,,,127.094405218338238,37.501319862550808
다사672451,"143.00",송파구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 송파구_202204/송파구.shp,"1124060",오금동,"390","11710570",0.003,2618.232,12.507,0.000000000000000,,,,,127.129459049443525,37.505040463108969
다사665435,"482.00",송파구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 송파구_202204/송파구.shp,"1124065",가락본동,"395","11710620",0.016,14763.367,66.000,0.000000000000000,,,,,127.121612021783889,37.490593797742363
다사687437,"317.00",송파구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 송파구_202204/송파구.shp,"1124054",거여2동,"384","11710532",0.014,6413.256,38.360,0.000000000000000,,,,,127.146489580751322,37.492473584220996
다사625455,"71.00",송파구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 송파구_202204/송파구.shp,"1124078",잠실7동,"403","11710720",0.007,1730.155,15.974,0.000000000000000,,,,,127.076263049721547,37.508467054529945
다사685446,"545.00",송파구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 송파구_202204/송파구.shp,"1124056",마천2동,"386","11710550",0.025,8942.929,49.400,0.000000000000000,,,,,127.144188667889793,37.500578940681088
다사652456,"357.00",송파구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 송파구_202204/송파구.shp,"1124061",송파1동,"391","11710580",0.013,9555.426,42.107,0.000000000000000,,,,,127.106807431157563,37.509474036917517
다사691440,"347.00",송파구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 송파구_202204/송파구.shp,"1124054",거여2동,"384","11710532",0.016,7329.435,43.840,0.000000000000000,,,,,127.150637490397727,37.494889864951290
다사691440,"347.00",송파구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 송파구_202204/송파구.shp,"1124055",마천1동,"385","11710540",0.017,5058.984,37.536,0.000000000000000,,,,,127.151057630000523,37.495237200265592
다사691441,"366.00",송파구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 송파구_202204/송파구.shp,"1124055",마천1동,"385","11710540",0.018,5356.572,39.744,1.000000000000000,79.770000,86.000000,3.000000,551000.000000,127.150997660074069,37.496092440474250
다사627458,"245.00",송파구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 송파구_202204/송파구.shp,"1124071",잠실본동,"400","11710650",0.007,5772.898,41.951,0.000000000000000,,,,,127.078768491418003,37.511205398522144
다사627458,"245.00",송파구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 송파구_202204/송파구.shp,"1124078",잠실7동,"403","11710720",0.023,5684.796,52.486,1.000000000000000,270.000000,3552.000000,146.000000,0.000000,127.078209314747113,37.511148503797351
다사659453,"266.00",송파구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 송파구_202204/송파구.shp,"1124061",송파1동,"391","11710580",0.010,7350.328,32.390,0.000000000000000,,,,,127.114741588544874,37.506796100866651
다사683439,"113.00",송파구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 송파구_202204/송파구.shp,"1124053",거여1동,"383","11710531",0.006,1789.116,12.282,0.000000000000000,,,,,127.141956122266322,37.494262657873378
다사658464,"337.00",송파구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 송파구_202204/송파구.shp,"1124058",방이2동,"388","11710562",0.012,10487.233,50.916,0.000000000000000,,,,,127.113546283855911,37.516695194617938
다사658464,"337.00",송파구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 송파구_202204/송파구.shp,"1124059",오륜동,"389","11710566",0.015,6297.786,107.805,0.000000000000000,,,,,127.113988224315861,37.517110619255632
다사659449,"329.00",송파구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 송파구_202204/송파구.shp,"1124062",송파2동,"392","11710590",0.014,6352.050,27.384,0.000000000000000,,,,,127.114760115228080,37.503190718951430
다사661481,"1081.00",송파구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 송파구_202204/송파구.shp,"1124052",풍납2동,"382","11710520",0.042,36211.861,187.614,2.000000000000000,108.380000,362.000000,95.000000,776666.666000,127.116875423251628,37.532041077533307
