gid,lbl,layer,path,ADM_DR_CD,ADM_DR_NM,OBJECTID,8_num,총인��,생산인�,유동인�,NUMPOINTS,area_sum,review_vis,review_blo,avg_sal_su,xcoord,ycoord
다사416477,"16.00",강서구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강서구_202204/강서구.shp,"1115057",신월1동,"227","11470560",0.001,355.041,1.576,0.000000000000000,,,,,126.839550370303670,37.527173541234504
다사416477,"16.00",강서구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강서구_202204/강서구.shp,"1116073",화곡1동,"259","11500540",0.000,0.000,0.000,0.000000000000000,,,,,126.840045274698980,37.527430396938485
다사437488,"190.00",강서구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강서구_202204/강서구.shp,"1115054",목4동,"226","11470540",0.006,2616.429,16.668,0.000000000000000,,,,,126.863697336839920,37.537239621848208
다사437488,"190.00",강서구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강서구_202204/강서구.shp,"1116053",등촌2동,"243","11500530",0.008,3067.514,11.744,0.000000000000000,,,,,126.863132387553449,37.537262577141263
다사412486,"128.00",강서구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강서구_202204/강서구.shp,"1115057",신월1동,"227","11470560",0.005,1775.205,7.880,0.000000000000000,,,,,126.834802723042102,37.535234580720257
다사412486,"128.00",강서구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강서구_202204/강서구.shp,"1116073",화곡1동,"259","11500540",0.002,2332.149,8.774,0.000000000000000,,,,,126.835324524813529,37.535382393878812
다사437500,"40.00",강서구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강서구_202204/강서구.shp,"1115053",목3동,"225","11470530",0.001,414.177,1.687,0.000000000000000,,,,,126.863501765835323,37.548032610885855
다사437500,"40.00",강서구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강서구_202204/강서구.shp,"1116053",등촌2동,"243","11500530",0.002,766.878,2.936,0.000000000000000,,,,,126.862947408525301,37.548106417510766
다사412487,"344.00",강서구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강서구_202204/강서구.shp,"1115057",신월1동,"227","11470560",0.014,4970.573,22.064,0.000000000000000,,,,,126.834585834784235,37.536120150802461
다사412487,"344.00",강서구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강서구_202204/강서구.shp,"1116073",화곡1동,"259","11500540",0.006,6996.446,26.322,1.000000000000000,35.340000,192.000000,20.000000,540666.667000,126.835101154113715,37.536214007447278
다사437493,"109.00",강서구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강서구_202204/강서구.shp,"1115053",목3동,"225","11470530",0.004,1656.709,6.748,0.000000000000000,,,,,126.863597271286082,37.541822705663925
다사437493,"109.00",강서구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강서구_202204/강서구.shp,"1116053",등촌2동,"243","11500530",0.004,1533.757,5.872,0.000000000000000,,,,,126.863055224303949,37.541723948379911
다사412489,"389.00",강서구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 강서구_202204/강서구.shp,"1115061",신월5동,"231","11470600",0.020,3969.228,32.760,1.000000000000000,26.320000,15.000000,5.000000,245666.667000,126.834681742671194,37.537905331478974
