gid,lbl,layer,path,ADM_DR_CD,ADM_DR_NM,OBJECTID,8_num,총인��,생산인�,유동인�,NUMPOINTS,area_sum,review_vis,review_blo,avg_sal_su,xcoord,ycoord
다사474433,"300.00",동작구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 동작구_202204/동작구.shp,"1119071",대림2동,"299","11560710",0.019,8635.382,34.390,0.000000000000000,,,,,126.905330304070574,37.488000117864296
다사474433,"300.00",동작구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 동작구_202204/동작구.shp,"1120069",신대방1동,"315","11590670",0.011,4412.740,19.118,0.000000000000000,,,,,126.905815659633845,37.487804682614531
다사490455,"394.00",동작구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 동작구_202204/동작구.shp,"1119069",신길7동,"297","11560690",0.014,4417.625,38.962,0.000000000000000,,,,,126.923229718807946,37.507870786249605
다사490455,"394.00",동작구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 동작구_202204/동작구.shp,"1120068",대방동,"314","11590660",0.009,8778.836,43.812,0.000000000000000,,,,,126.923776371668609,37.507775899451410
다사483443,"23.00",동작구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 동작구_202204/동작구.shp,"1119068",신길6동,"296","11560680",0.001,518.266,1.926,0.000000000000000,,,,,126.915646508781151,37.497099569723886
다사483443,"23.00",동작구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 동작구_202204/동작구.shp,"1120070",신대방2동,"316","11590680",0.001,605.028,3.192,0.000000000000000,,,,,126.915770945934042,37.496662668698669
다사475435,"17.00",동작구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 동작구_202204/동작구.shp,"1119070",대림1동,"298","11560700",0.001,397.578,0.978,0.000000000000000,,,,,126.906654150703801,37.489736768100862
다사475435,"17.00",동작구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 동작구_202204/동작구.shp,"1120069",신대방1동,"315","11590670",0.001,401.158,1.738,0.000000000000000,,,,,126.907127781903100,37.489399030018227
다사478439,"244.00",동작구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 동작구_202204/동작구.shp,"1119068",신길6동,"296","11560680",0.008,4146.125,15.408,0.000000000000000,,,,,126.909830160340078,37.493420359955600
다사478439,"244.00",동작구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 동작구_202204/동작구.shp,"1120069",신대방1동,"315","11590670",0.009,3610.424,15.642,0.000000000000000,,,,,126.910319928355548,37.493229897175063
다사493462,"240.00",동작구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 동작구_202204/동작구.shp,"1119069",신길7동,"297","11560690",0.009,2839.902,25.047,0.000000000000000,,,,,126.926604746711689,37.514106775615602
다사493462,"240.00",동작구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 동작구_202204/동작구.shp,"1120068",대방동,"314","11590660",0.005,4877.131,24.340,0.000000000000000,,,,,126.927142450670374,37.514187679641473
다사476436,"14.00",동작구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 동작구_202204/동작구.shp,"1119070",대림1동,"298","11560700",0.001,397.578,0.978,0.000000000000000,,,,,126.907608022795330,37.490683787657645
