gid,lbl,layer,path,ADM_DR_CD,ADM_DR_NM,OBJECTID,8_num,총인��,생산인�,유동인�,NUMPOINTS,area_sum,review_vis,review_blo,avg_sal_su,xcoord,ycoord
다사521497,"670.00",마포구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 마포구_202204/마포구.shp,"1114077",공덕동,"221","11440565",0.015,14101.863,57.045,0.000000000000000,,,,,126.958279901157994,37.545912277002827
다사521493,"45.00",마포구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 마포구_202204/마포구.shp,"1103058",효창동,"37","11170580",0.003,690.583,1.911,0.000000000000000,,,,,126.958427676284487,37.542188438547520
다사521493,"45.00",마포구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 마포구_202204/마포구.shp,"1114077",공덕동,"221","11440565",0.001,940.124,3.803,0.000000000000000,,,,,126.957958842323919,37.542466428028582
다사521494,"40.00",마포구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 마포구_202204/마포구.shp,"1103058",효창동,"37","11170580",0.002,460.389,1.274,0.000000000000000,,,,,126.958380748298907,37.543180246053844
다사521494,"40.00",마포구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 마포구_202204/마포구.shp,"1114077",공덕동,"221","11440565",0.001,940.124,3.803,0.000000000000000,,,,,126.958010623513360,37.542796026699939
다사524500,"419.00",마포구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 마포구_202204/마포구.shp,"1103058",효창동,"37","11170580",0.026,5985.052,16.562,0.000000000000000,,,,,126.962046497311078,37.548283799027089
다사524500,"419.00",마포구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 마포구_202204/마포구.shp,"1114077",공덕동,"221","11440565",0.010,9401.242,38.030,0.000000000000000,,,,,126.961636686236915,37.548609175538594
다사523498,"249.00",마포구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 마포구_202204/마포구.shp,"1103058",효창동,"37","11170580",0.015,3452.915,9.555,0.000000000000000,,,,,126.960774632810512,37.546655794017013
다사523498,"249.00",마포구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 마포구_202204/마포구.shp,"1114077",공덕동,"221","11440565",0.006,5640.745,22.818,0.000000000000000,,,,,126.960320239035255,37.546881547626469
다사510486,"498.00",마포구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 마포구_202204/마포구.shp,"1114075",도화동,"219","11440585",0.018,7291.506,71.154,0.000000000000000,,,,,126.945897093587618,37.535917329125709
다사520495,"412.00",마포구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 마포구_202204/마포구.shp,"1103058",효창동,"37","11170580",0.025,5754.858,15.925,0.000000000000000,,,,,126.957652241913664,37.543914686918157
다사520495,"412.00",마포구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 마포구_202204/마포구.shp,"1114077",공덕동,"221","11440565",0.009,8461.118,34.227,0.000000000000000,,,,,126.957121521922787,37.544055191466640
다사525502,"430.00",마포구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 마포구_202204/마포구.shp,"1103071",청파동,"45","11170555",0.018,9486.359,39.780,0.000000000000000,,,,,126.963275373486738,37.550643175068792
다사525502,"430.00",마포구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 마포구_202204/마포구.shp,"1114077",공덕동,"221","11440565",0.010,9401.242,38.030,0.000000000000000,,,,,126.962775280593860,37.550344842400030
다사520494,"311.00",마포구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 마포구_202204/마포구.shp,"1103058",효창동,"37","11170580",0.019,4373.692,12.103,0.000000000000000,,,,,126.957625103087253,37.543283545251391
다사520494,"311.00",마포구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 마포구_202204/마포구.shp,"1114077",공덕동,"221","11440565",0.007,6580.869,26.621,0.000000000000000,,,,,126.957119484344602,37.543100690593619
다사526502,"13.00",마포구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 마포구_202204/마포구.shp,"1103071",청파동,"45","11170555",0.001,527.020,2.210,0.000000000000000,,,,,126.963970370714122,37.550388065787246
다사526502,"13.00",마포구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 마포구_202204/마포구.shp,"1114077",공덕동,"221","11440565",0.000,0.000,0.000,0.000000000000000,,,,,126.963452611651903,37.550068104162101
다사517489,"377.00",마포구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 마포구_202204/마포구.shp,"1103059",용문동,"38","11170590",0.024,4822.676,14.400,0.000000000000000,,,,,126.954103000541792,37.538507599132721
다사517489,"377.00",마포구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 마포구_202204/마포구.shp,"1114075",도화동,"219","11440585",0.013,5266.087,51.389,0.000000000000000,,,,,126.953620106017766,37.538700129991064
