gid,lbl,layer,path,ADM_DR_CD,ADM_DR_NM,OBJECTID,8_num,총인��,생산인�,유동인�,NUMPOINTS,area_sum,review_vis,review_blo,avg_sal_su,xcoord,ycoord
다사489540,"8.00",서대문구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 서대문구_202204/서대문구.shp,"1112073",응암3동,"191","11380600",0.000,0.000,0.000,0.000000000000000,,,,,126.921585645799382,37.584419296227843
다사489540,"8.00",서대문구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 서대문구_202204/서대문구.shp,"1113070",남가좌2동,"200","11410700",0.000,0.000,0.000,0.000000000000000,,,,,126.922148339887571,37.584438424435277
다사482543,"51.00",서대문구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 서대문구_202204/서대문구.shp,"1112073",응암3동,"191","11380600",0.002,1137.499,3.658,1.000000000000000,41.250000,437.000000,11.000000,363333.333000,126.913903247870707,37.587157130378714
다사482543,"51.00",서대문구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 서대문구_202204/서대문구.shp,"1113072",북가좌2동,"202","11410720",0.001,871.196,2.027,0.000000000000000,,,,,126.913579510851420,37.586770012563449
다사483542,"221.00",서대문구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 서대문구_202204/서대문구.shp,"1112073",응암3동,"191","11380600",0.007,3981.248,12.803,0.000000000000000,,,,,126.915118016348245,37.586439106048495
다사483542,"221.00",서대문구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 서대문구_202204/서대문구.shp,"1113072",북가좌2동,"202","11410720",0.005,4355.979,10.135,0.000000000000000,,,,,126.914902484057322,37.586035895699354
다사484541,"144.00",서대문구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 서대문구_202204/서대문구.shp,"1112073",응암3동,"191","11380600",0.004,2274.999,7.316,0.000000000000000,,,,,126.916239055302242,37.585287761248601
다사484541,"144.00",서대문구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 서대문구_202204/서대문구.shp,"1113072",북가좌2동,"202","11410720",0.003,2613.587,6.081,0.000000000000000,,,,,126.915824825140007,37.585332928328022
다사484540,"27.00",서대문구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 서대문구_202204/서대문구.shp,"1112073",응암3동,"191","11380600",0.001,568.750,1.829,0.000000000000000,,,,,126.916177958967296,37.584400077814394
다사484540,"27.00",서대문구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 서대문구_202204/서대문구.shp,"1113072",북가좌2동,"202","11410720",0.001,871.196,2.027,0.000000000000000,,,,,126.915627817682065,37.584381588395665
다사487539,"55.00",서대문구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 서대문구_202204/서대문구.shp,"1112073",응암3동,"191","11380600",0.002,1137.499,3.658,0.000000000000000,,,,,126.919572874162156,37.583609275202029
다사487539,"55.00",서대문구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 서대문구_202204/서대문구.shp,"1113072",북가좌2동,"202","11410720",0.001,871.196,2.027,0.000000000000000,,,,,126.919420561365101,37.583178189850706
다사480541,"17.00",서대문구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 서대문구_202204/서대문구.shp,"1112067",증산동,"187","11380640",0.001,359.294,2.321,0.000000000000000,,,,,126.911292412062934,37.585483129275730
다사480541,"17.00",서대문구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 서대문구_202204/서대문구.shp,"1113072",북가좌2동,"202","11410720",0.000,0.000,0.000,0.000000000000000,,,,,126.911717122092483,37.585196477783647
다사489539,"291.00",서대문구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 서대문구_202204/서대문구.shp,"1112073",응암3동,"191","11380600",0.009,5118.747,16.461,0.000000000000000,,,,,126.921502633992162,37.583700788613022
