gid,lbl,layer,path,ADM_DR_CD,ADM_DR_NM,OBJECTID,8_num,총인��,생산인�,유동인�,NUMPOINTS,area_sum,review_vis,review_blo,avg_sal_su,xcoord,ycoord
다사525524,"10.00",서대문구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 서대문구_202204/서대문구.shp,"1101058",교남동,"6","11110580",0.001,171.428,1.383,0.000000000000000,,,,,126.962782960975503,37.570272283708334
다사525524,"10.00",서대문구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 서대문구_202204/서대문구.shp,"1113052",천연동,"193","11410520",0.000,0.000,0.000,0.000000000000000,,,,,126.962354555483543,37.569981724976877
다사527521,"87.00",서대문구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 서대문구_202204/서대문구.shp,"1101058",교남동,"6","11110580",0.007,1199.996,9.681,0.000000000000000,,,,,126.965215755500822,37.567624927757656
다사527521,"87.00",서대문구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 서대문구_202204/서대문구.shp,"1113052",천연동,"193","11410520",0.004,1533.840,9.084,0.000000000000000,,,,,126.964747888982046,37.567406536098382
다사524525,"7.00",서대문구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 서대문구_202204/서대문구.shp,"1101058",교남동,"6","11110580",0.001,171.428,1.383,0.000000000000000,,,,,126.961707270148509,37.571200077317719
다사524525,"7.00",서대문구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 서대문구_202204/서대문구.shp,"1113052",천연동,"193","11410520",0.000,0.000,0.000,1.000000000000000,34.320000,438.000000,42.000000,494000.000000,126.961279452694001,37.570937693395400
다사519556,"10.00",서대문구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 서대문구_202204/서대문구.shp,"1101055",부암동,"3","11110550",0.001,343.899,2.228,0.000000000000000,,,,,126.955777108390180,37.599298114067281
다사519556,"10.00",서대문구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 서대문구_202204/서대문구.shp,"1113066",홍은1동,"197","11410660",0.000,0.000,0.000,0.000000000000000,,,,,126.955618270060214,37.598871385018512
다사574534,"398.00",성북구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 성북구_202204/성북구.shp,"1101070",숭인1동,"14","11110700",0.037,6898.071,33.411,0.000000000000000,,,,,127.017828902276150,37.579281054414082
다사574534,"398.00",성북구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 성북구_202204/성북구.shp,"1108061",보문동,"114","11290610",0.020,7607.094,31.900,0.000000000000000,,,,,127.018254141395005,37.579545948184126
