gid,lbl,layer,path,ADM_DR_CD,ADM_DR_NM,OBJECTID,8_num,총인��,생산인�,유동인�,NUMPOINTS,area_sum,review_vis,review_blo,avg_sal_su,xcoord,ycoord
다사525511,"89.00",마포구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 마포구_202204/마포구.shp,"1102068",중림동,"27","11140680",0.006,1360.918,7.086,0.000000000000000,,,,,126.962798082240042,37.558541690886294
다사525511,"89.00",마포구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 마포구_202204/마포구.shp,"1114077",공덕동,"221","11440565",0.002,1880.248,7.606,0.000000000000000,,,,,126.962532141951158,37.558141228446509
다사524506,"96.00",마포구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 마포구_202204/마포구.shp,"1102068",중림동,"27","11140680",0.006,1360.918,7.086,0.000000000000000,,,,,126.962010168937127,37.553957947745253
다사524506,"96.00",마포구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 마포구_202204/마포구.shp,"1114077",공덕동,"221","11440565",0.002,1880.248,7.606,0.000000000000000,,,,,126.961507391937261,37.553974104208557
다사525510,"398.00",마포구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 마포구_202204/마포구.shp,"1102068",중림동,"27","11140680",0.025,5670.491,29.525,0.000000000000000,,,,,126.963200270850976,37.557666166867840
다사525510,"398.00",마포구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 마포구_202204/마포구.shp,"1114077",공덕동,"221","11440565",0.009,8461.118,34.227,0.000000000000000,,,,,126.962659015277083,37.557558821382102
다사524511,"232.00",마포구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 마포구_202204/마포구.shp,"1102068",중림동,"27","11140680",0.015,3402.295,17.715,0.000000000000000,,,,,126.961912623086903,37.558666050946336
다사524511,"232.00",마포구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 마포구_202204/마포구.shp,"1113074",북아현동,"204","11410555",0.012,10898.675,14.208,0.000000000000000,,,,,126.961173692798738,37.558871500595515
다사524511,"232.00",마포구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 마포구_202204/마포구.shp,"1114077",공덕동,"221","11440565",0.005,4700.621,19.015,0.000000000000000,,,,,126.961537242840095,37.558390656777320
다사527513,"328.00",서대문구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 서대문구_202204/서대문구.shp,"1102068",중림동,"27","11140680",0.021,4763.213,24.801,0.000000000000000,,,,,126.965271207994576,37.560016500544599
다사527513,"328.00",서대문구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 서대문구_202204/서대문구.shp,"1113073",충현동,"203","11410565",0.012,11551.582,43.848,2.000000000000000,84.020000,643.000000,4.000000,738666.666000,126.964930011868745,37.560377866000003
