gid,lbl,layer,path,ADM_DR_CD,ADM_DR_NM,OBJECTID,8_num,총인��,생산인�,유동인�,NUMPOINTS,area_sum,review_vis,review_blo,avg_sal_su,xcoord,ycoord
다사631525,"67.00",광진구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 광진구_202204/광진구.shp,"1105057",중곡3동,"70","11215760",0.003,1100.691,4.653,0.000000000000000,,,,,127.082665546156221,37.571283518060255
다사631525,"67.00",광진구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 광진구_202204/광진구.shp,"1107054",면목4동,"96","11260540",0.003,1235.947,5.028,0.000000000000000,,,,,127.082717156807092,37.571731654318832
다사633524,"453.00",광진구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 광진구_202204/광진구.shp,"1105057",중곡3동,"70","11215760",0.021,7704.840,32.571,0.000000000000000,,,,,127.084947261747658,37.570656540713138
다사633524,"453.00",광진구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 광진구_202204/광진구.shp,"1107054",면목4동,"96","11260540",0.019,7827.663,31.844,0.000000000000000,,,,,127.085225642240019,37.571082806701973
다사630525,"162.00",광진구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 광진구_202204/광진구.shp,"1105057",중곡3동,"70","11215760",0.008,2935.177,12.408,0.000000000000000,,,,,127.081542514545532,37.571336920029694
다사630525,"162.00",광진구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 광진구_202204/광진구.shp,"1107054",면목4동,"96","11260540",0.007,2883.876,11.732,0.000000000000000,,,,,127.081589077431900,37.571785240723685
다사634524,"259.00",광진구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 광진구_202204/광진구.shp,"1105057",중곡3동,"70","11215760",0.012,4402.766,18.612,0.000000000000000,,,,,127.085826115643997,37.570574961418259
다사634524,"259.00",광진구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 광진구_202204/광진구.shp,"1107054",면목4동,"96","11260540",0.011,4531.805,18.436,0.000000000000000,,,,,127.086146905042170,37.571004198789993
다사632525,"25.00",광진구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 광진구_202204/광진구.shp,"1105057",중곡3동,"70","11215760",0.001,366.897,1.551,1.000000000000000,24.000000,15.000000,2.000000,205000.000000,127.083697632038607,37.571221543055877
다사632525,"25.00",광진구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 광진구_202204/광진구.shp,"1107054",면목4동,"96","11260540",0.001,411.982,1.676,0.000000000000000,,,,,127.083858045880177,37.571657871397782
다사629525,"90.00",광진구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 광진구_202204/광진구.shp,"1105057",중곡3동,"70","11215760",0.004,1467.589,6.204,0.000000000000000,,,,,127.080416806560009,37.571393231095257
다사629525,"90.00",광진구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 광진구_202204/광진구.shp,"1107054",면목4동,"96","11260540",0.004,1647.929,6.704,0.000000000000000,,,,,127.080462339993190,37.571841670483984
다사643560,"56.00",중랑구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 중랑구_202204/중랑구.shp,"1107069",신내1동,"106","11260680",0.001,826.396,5.615,0.000000000000000,,,,,127.096326203395407,37.603213640807589
다사643560,"56.00",중랑구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 중랑구_202204/중랑구.shp,"1107070",신내2동,"107","11260690",0.002,822.731,6.278,0.000000000000000,,,,,127.095776996765665,37.603120938436270
다사647551,"288.00",중랑구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 중랑구_202204/중랑구.shp,"1107068",망우3동,"105","11260660",0.014,4002.773,18.536,0.000000000000000,,,,,127.100404338697189,37.594891190825777
다사647551,"288.00",중랑구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 중랑구_202204/중랑구.shp,"1107073",망우본동,"110","11260655",0.008,7438.508,42.952,0.000000000000000,,,,,127.100827839815253,37.595170709887874
다사629554,"44.00",중랑구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 중랑구_202204/중랑구.shp,"1107061",중화1동,"101","11260600",0.002,804.262,3.524,0.000000000000000,,,,,127.080536583077532,37.597735002439485
다사629554,"44.00",중랑구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 중랑구_202204/중랑구.shp,"1107062",중화2동,"102","11260610",0.002,1160.768,8.012,0.000000000000000,,,,,127.079974184965081,37.597690303234536
다사645566,"548.00",중랑구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 중랑구_202204/중랑구.shp,"1107069",신내1동,"106","11260680",0.012,9916.758,67.380,0.000000000000000,,,,,127.098355331177615,37.608594308100471
다사631573,"680.00",중랑구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 중랑구_202204/중랑구.shp,"1107064",묵1동,"103","11260620",0.018,10982.850,64.620,0.000000000000000,,,,,127.082458587919561,37.614848538540414
다사634534,"251.00",중랑구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 중랑구_202204/중랑구.shp,"1107057",면목7동,"98","11260570",0.010,4534.385,20.870,1.000000000000000,53.080000,387.000000,43.000000,526000.000000,127.086052541713087,37.579708717558987
다사649556,"324.00",중랑구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 중랑구_202204/중랑구.shp,"1107073",망우본동,"110","11260655",0.009,8368.322,48.321,0.000000000000000,,,,,127.102935098648516,37.599596354375855
다사626569,"334.00",중랑구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 중랑구_202204/중랑구.shp,"1107065",묵2동,"104","11260630",0.015,6783.075,41.970,0.000000000000000,,,,,127.076813740211250,37.611223058236618
다사627555,"239.00",중랑구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 중랑구_202204/중랑구.shp,"1107062",중화2동,"102","11260610",0.009,5223.458,36.054,0.000000000000000,,,,,127.078018029217844,37.598608550342213
다사629545,"315.00",중랑구,C:/Users/lee/Desktop/데이터2/(B100)국토통계_인구정보-총 인구 수(전체)-(격자) 100M_서울특별시 중랑구_202204/중랑구.shp,"1107052",면목2동,"95","11260520",0.011,5444.058,17.820,0.000000000000000,,,,,127.080334268212553,37.589603348833776
